SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude
2120364,1.96555,1.9201,1.88228,1.85039,1.82057,1.79311,1.76754,1.74677,1.73511,1.73633,1.75374,1.78717,1.82373,1.84129,1.83363,1.82216,1.83595,1.89537,1.99806,2.11179,2.18748,2.21184,2.20527,2.18138,2.1467,2.10858,2.07183,2.03659,2.00195,1.97116,1.94692,1.93052,1.92322,1.92673,1.95016,2.01768,2.14935,2.32014,12,9.5,N,N,N,N,N,N,N,N
GC2601100,1.98875,1.94736,1.91503,1.8862,1.86108,1.84217,1.82194,1.79897,1.78565,1.78802,1.80766,1.84384,1.88267,1.90107,1.89276,1.87999,1.89111,1.94556,2.03877,2.14402,2.22066,2.25231,2.25456,2.23883,2.20889,2.17251,2.13559,2.09912,2.06142,2.02792,2.00303,1.98726,1.98113,1.98517,2.00794,2.07623,2.21179,2.39018,16.7,11.7,N,N,N,N,N,N,N,N
214096,1.95082,1.9123,1.87926,1.84896,1.8236,1.80445,1.78321,1.75881,1.74296,1.74117,1.75452,1.78211,1.81144,1.82239,1.8103,1.79519,1.80187,1.84818,1.93237,2.0288,2.09504,2.11801,2.11483,2.09578,2.06512,2.02995,1.99554,1.96195,1.92729,1.89579,1.87162,1.85518,1.84737,1.84902,1.86873,1.93278,2.05629,2.21999,15,8.9,N,N,N,N,N,N,N,N
2120345,2.03296,1.9844,1.9436,1.90908,1.87715,1.8481,1.82146,1.79926,1.78635,1.78678,1.80386,1.8377,1.87523,1.89394,1.88692,1.87624,1.89253,1.95627,2.06347,2.18003,2.25604,2.27912,2.27015,2.24388,2.20729,2.16775,2.12987,2.09355,2.05824,2.02689,2.0022,1.98582,1.9784,1.98215,2.0063,2.07531,2.21041,2.38506,10.8,9.9,N,N,N,N,N,N,N,N
GC2601019,2.41594,2.36473,2.32214,2.28242,2.24725,2.21789,2.18689,2.1537,2.13018,2.12194,2.13042,2.15499,2.1831,2.19265,2.17602,2.15425,2.15539,2.19984,2.28812,2.39368,2.46894,2.4961,2.49262,2.47115,2.4368,2.3972,2.35808,2.31973,2.28039,2.24391,2.21533,2.19502,2.18382,2.18341,2.20251,2.26726,2.39986,2.57923,14.5,9.2,N,N,N,N,N,N,N,N
214054,1.93824,1.89277,1.85477,1.8211,1.79272,1.77112,1.74749,1.72132,1.70515,1.70622,1.72613,1.7637,1.80593,1.82917,1.82325,1.81054,1.82441,1.88751,1.99541,2.11519,2.19749,2.22504,2.21701,2.18984,2.1515,2.10979,2.06996,2.03223,1.99404,1.9598,1.93378,1.9155,1.90628,1.90793,1.92882,1.99547,2.13205,2.3195,7.3,9.9,N,N,N,N,N,N,N,N
2120788,2.10269,2.05306,2.01133,1.97599,1.94348,1.91402,1.88682,1.86406,1.85051,1.84999,1.86592,1.89782,1.93326,1.95089,1.9455,1.93912,1.9612,2.02941,2.13456,2.24296,2.31314,2.33435,2.32505,2.29888,2.26231,2.22219,2.18342,2.14652,2.11115,2.08082,2.05814,2.04438,2.04001,2.04624,2.07255,2.14371,2.2818,2.45876,12,12.1,N,N,N,N,N,N,N,N
2120343,2.25749,2.20518,2.16131,2.12314,2.08774,2.05559,2.02584,2.00105,1.98618,1.98529,2.00209,2.03613,2.07372,2.09132,2.0831,2.0724,2.09091,2.15916,2.27094,2.38939,2.46476,2.48603,2.47515,2.4467,2.40804,2.36606,2.32568,2.28677,2.24858,2.21461,2.18814,2.17056,2.16294,2.16723,2.19373,2.26743,2.41028,2.59071,11.5,10.3,N,N,N,N,N,N,N,N
2140448,1.91684,1.87646,1.8436,1.81688,1.79248,1.77059,1.75037,1.73401,1.72682,1.73243,1.75442,1.79223,1.83238,1.85292,1.84808,1.84034,1.8591,1.92263,2.02615,2.13757,2.21178,2.23722,2.23277,2.21118,2.17791,2.14053,2.10401,2.06855,2.03388,2.00373,1.98046,1.96557,1.96016,1.96545,1.99084,2.06041,2.1932,2.36178,11.69,11.11,Y,Y,Y,Y,Y,Y,Y,Y
214081,2.43706,2.39512,2.35882,2.32549,2.29795,2.27847,2.25629,2.23138,2.21717,2.22107,2.24524,2.28739,2.33292,2.35569,2.3481,2.33573,2.35406,2.42424,2.53677,2.65553,2.734,2.75942,2.75102,2.72306,2.68312,2.63865,2.59497,2.55227,2.50891,2.47057,2.44136,2.42192,2.41279,2.41549,2.44041,2.51743,2.66969,2.87049,10.6,10.8,N,N,N,N,N,N,N,N
2140578,2.02647,1.97563,1.93265,1.89584,1.86158,1.83019,1.80113,1.77668,1.7612,1.75845,1.7716,1.80041,1.83279,1.84789,1.83907,1.82682,1.84017,1.89863,1.99889,2.10931,2.1827,2.20584,2.19794,2.173,2.13776,2.09941,2.06256,2.0274,1.99319,1.96307,1.93953,1.92372,1.9168,1.92056,1.94401,2.01111,2.14146,2.31099,10.97,10.02,N,N,N,N,N,N,N,N
2140213,2.0249,1.97819,1.93897,1.90579,1.87518,1.84728,1.82114,1.79908,1.78593,1.7858,1.80194,1.83415,1.86959,1.887,1.88056,1.87161,1.88959,1.95267,2.0546,2.16363,2.23655,2.26091,2.25458,2.23105,2.19631,2.15773,2.12018,2.08407,2.04913,2.01909,1.99609,1.98168,1.97661,1.982,2.00742,2.07668,2.21067,2.38242,14.24,11.52,Y,Y,Y,Y,Y,Y,Y,Y
2141169,2.10092,2.05887,2.02483,1.99544,1.96801,1.94175,1.91535,1.89647,1.89076,1.89803,1.92043,1.96145,2.00577,2.02793,2.02163,2.00735,2.0189,2.08244,2.19946,2.33408,2.42366,2.45152,2.44263,2.41393,2.37374,2.33177,2.29151,2.25259,2.21583,2.18126,2.15274,2.13169,2.12021,2.12122,2.14371,2.21197,2.34777,2.52098,10.81,8.03,N,N,N,N,N,N,N,N
W2701045,1.93259,1.89302,1.86365,1.83315,1.80593,1.78627,1.76522,1.74005,1.7238,1.7223,1.73756,1.76842,1.8037,1.82222,1.81657,1.80605,1.81837,1.87308,1.96512,2.06642,2.1375,2.16367,2.16019,2.13995,2.10841,2.07223,2.03674,2.00237,1.96747,1.93629,1.91297,1.89758,1.89101,1.89366,1.91361,1.97476,2.10012,2.27008,13,11.96,N,N,N,N,N,N,N,N
GC2601042,2.01831,1.97548,1.94121,1.91064,1.88453,1.8645,1.84292,1.81873,1.80435,1.80617,1.82575,1.8622,1.90181,1.92168,1.9142,1.90187,1.91457,1.97271,2.07121,2.18098,2.25868,2.28836,2.28703,2.26743,2.23464,2.19622,2.15809,2.12075,2.08277,2.04871,2.02315,2.00684,2.00019,2.00385,2.02673,2.09593,2.23414,2.41816,14.7,11.6,N,N,N,N,N,N,N,N
