SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Protein,Moisture,Exclude
2130818s3,1.76139,1.72905,1.70275,1.68204,1.66565,1.65229,1.6396,1.62915,1.62665,1.63636,1.66179,1.70205,1.74455,1.76792,1.76692,1.76339,1.78669,1.85442,1.95879,2.067,2.13841,2.16253,2.15748,2.1362,2.10482,2.07022,2.03652,2.0041,1.97287,1.9456,1.92518,1.91256,1.9086,1.91442,1.93981,2.00759,2.13746,2.30105,11.35,11.01,N
2131854s4,2.14365,2.09753,2.0601,2.02901,2.00186,1.97774,1.95389,1.93344,1.92267,1.92712,1.95078,1.99301,2.03914,2.06331,2.05807,2.04832,2.06818,2.13967,2.25933,2.39069,2.47867,2.50761,2.50022,2.47286,2.43394,2.39158,2.35065,2.31144,2.27314,2.239,2.21173,2.19311,2.18438,2.18768,2.21408,2.28861,2.43354,2.61676,11.22,9.71,N
2130624s10,1.99249,1.94437,1.9039,1.86938,1.83937,1.81411,1.79103,1.77217,1.76205,1.7639,1.78203,1.81552,1.85083,1.86707,1.86222,1.85935,1.88645,1.9577,2.06051,2.16211,2.22711,2.24859,2.24353,2.22252,2.19059,2.15428,2.11849,2.08362,2.04954,2.02078,2.00052,1.98982,1.9888,1.99868,2.02976,2.10746,2.25087,2.4252,14.9,12.62,N
2140932s7,2.19798,2.14594,2.10175,2.06373,2.03017,1.99962,1.97024,1.94454,1.92809,1.925,1.93834,1.96805,2.00119,2.01516,2.00304,1.98663,1.99586,2.05266,2.15754,2.27576,2.35267,2.37457,2.36484,2.33772,2.30064,2.26077,2.22267,2.18607,2.15012,2.11725,2.09021,2.07088,2.06079,2.06197,2.08496,2.15284,2.28637,2.4562,11.51,8.4,N
2130506s2,1.92875,1.89209,1.86178,1.8358,1.81286,1.79185,1.77185,1.75502,1.74588,1.74744,1.76326,1.79294,1.82416,1.83645,1.82694,1.81509,1.82549,1.87489,1.96179,2.05774,2.12227,2.14549,2.14457,2.12896,2.10259,2.07198,2.04159,2.01118,1.98083,1.95373,1.93226,1.91779,1.91156,1.9151,1.93774,2.00027,2.11804,2.26298,15.52,9.29,N
2131541s4,2.20145,2.15657,2.11986,2.0892,2.06374,2.04268,2.0229,2.00659,2.00035,2.00948,2.03873,2.08735,2.139,2.16683,2.16497,2.16137,2.1925,2.27862,2.40809,2.5401,2.62561,2.65306,2.64476,2.6162,2.57551,2.52996,2.48562,2.44258,2.40081,2.36456,2.33778,2.32144,2.31619,2.32362,2.35572,2.44103,2.60453,2.80466,12.44,12.02,N
2130933s4,1.84352,1.80362,1.77165,1.74603,1.72494,1.70715,1.68948,1.67468,1.66892,1.67771,1.7044,1.74765,1.7939,1.81995,1.81952,1.81636,1.8424,1.91666,2.03146,2.15082,2.22893,2.25487,2.24795,2.22324,2.18835,2.15057,2.11418,2.07938,2.04565,2.01628,1.99419,1.98052,1.97612,1.98251,2.00997,2.08293,2.22238,2.39865,10.65,11.1,N
2130621s6,1.95875,1.91515,1.8794,1.84887,1.82185,1.79864,1.77479,1.75497,1.74393,1.74355,1.76451,1.79879,1.83601,1.85441,1.84851,1.83975,1.85862,1.92368,2.02951,2.14211,2.21525,2.23841,2.23088,2.20656,2.17262,2.13624,2.10103,2.06729,2.03392,2.00448,1.9818,1.96718,1.96135,1.96624,1.99234,2.063,2.19714,2.36636,10.87,10.31,N
2130420s3,2.06774,2.02273,1.98492,1.95177,1.92219,1.89526,1.86847,1.84468,1.82952,1.82749,1.84193,1.87279,1.90704,1.92209,1.91134,1.89628,1.90769,1.96559,2.06802,2.18198,2.25768,2.28234,2.27552,2.25123,2.21654,2.17858,2.14185,2.10636,2.07148,2.04036,2.0153,1.99783,1.98923,1.99154,2.01521,2.08329,2.21534,2.38307,11.18,9.34,N
2140096s1,2.79973,2.75939,2.72659,2.69937,2.67618,2.65654,2.63683,2.61978,2.61251,2.62168,2.65174,2.7017,2.75536,2.78419,2.78016,2.77152,2.7962,2.87716,3.00687,3.14423,3.23361,3.26129,3.25086,3.21963,3.1768,3.12941,3.08357,3.03891,2.99456,2.95479,2.92302,2.90029,2.88812,2.88957,2.91653,2.99588,3.15232,3.34235,9.84,10.42,N
2140453s9,1.79587,1.76062,1.73214,1.70955,1.69066,1.6744,1.6583,1.64461,1.63979,1.6482,1.67077,1.71387,1.75745,1.78108,1.77864,1.77238,1.79265,1.85901,1.96796,2.08563,2.16365,2.18929,2.18312,2.16049,2.12637,2.09028,2.05562,2.02251,1.99027,1.96156,1.93899,1.92394,1.91798,1.92167,1.94608,2.01403,2.14337,2.30768,12.77,9.85,N
2130623s7,1.98612,1.94416,1.9094,1.88174,1.85738,1.83726,1.81735,1.79972,1.79066,1.79583,1.8192,1.86029,1.90544,1.93117,1.93022,1.92603,1.9519,2.02755,2.14542,2.26801,2.34812,2.3732,2.36452,2.33587,2.29801,2.25712,2.21834,2.18184,2.14673,2.11625,2.09299,2.07851,2.07292,2.07809,2.10482,2.17785,2.31975,2.50116,9.59,11.42,N
2131963s2,2.15724,2.11143,2.07233,2.04039,2.0137,1.99053,1.96768,1.94875,1.9378,1.94276,1.96692,2.00969,2.05662,2.08138,2.07609,2.06577,2.08525,2.15695,2.27695,2.40775,2.49436,2.52301,2.51486,2.48879,2.44939,2.40712,2.36613,2.32668,2.2883,2.25394,2.22668,2.20829,2.20005,2.20391,2.23108,2.30717,2.45575,2.64341,11.52,9.89,N
2131714s8,1.97956,1.94197,1.91033,1.88347,1.86002,1.83935,1.81935,1.80255,1.795,1.80079,1.82336,1.86266,1.90407,1.92317,1.91476,1.90276,1.91895,1.984,2.09595,2.21787,2.29672,2.32135,2.31396,2.28919,2.25367,2.21586,2.17947,2.14442,2.10947,2.07753,2.05187,2.0341,2.02532,2.02802,2.05334,2.12488,2.26171,2.43154,10.97,8.67,N
2140517s5,2.06213,2.02353,1.99181,1.96569,1.94163,1.9188,1.89576,1.87556,1.86401,1.86572,1.88433,1.92002,1.95945,1.97781,1.96675,1.94891,1.95568,2.01088,2.11913,2.24685,2.33284,2.36113,2.35359,2.32811,2.29186,2.25252,2.21497,2.17887,2.14332,2.11005,2.08187,2.06057,2.04808,2.04724,2.06847,2.13416,2.26323,2.42674,10.56,7.03,N
2140388s5,2.05164,2.00681,1.96945,1.93744,1.90958,1.88465,1.86016,1.83914,1.82772,1.83098,1.85203,1.89008,1.93176,1.94999,1.94451,1.93083,1.94455,2.00811,2.12229,2.25133,2.33536,2.36137,2.3521,2.32392,2.28599,2.24579,2.20788,2.17177,2.13606,2.10373,2.07707,2.05774,2.04732,2.04841,2.0719,2.14114,2.27626,2.44888,10.2,7.91,N
2140961s2,2.05253,2.00779,1.96686,1.93171,1.90164,1.87585,1.85159,1.83094,1.81984,1.82291,1.84424,1.88323,1.92563,1.94657,1.94008,1.93039,1.95027,2.02007,2.13449,2.25614,2.33509,2.36035,2.3538,2.32952,2.29402,2.25484,2.21685,2.17997,2.14362,2.1113,2.08612,2.06966,2.06299,2.06822,2.09586,2.17149,2.31509,2.49234,12.25,9.92,N
2130778s1,1.81124,1.77725,1.7493,1.72589,1.70581,1.68865,1.67218,1.6582,1.6501,1.6592,1.68221,1.72072,1.76129,1.78134,1.77617,1.76814,1.78761,1.85312,1.95957,2.07296,2.14752,2.17243,2.16739,2.14576,2.11359,2.07804,2.04347,2.00967,1.97617,1.94687,1.92421,1.90971,1.90467,1.90956,1.93592,2.00651,2.13962,2.30422,11.54,9.74,N
2131305s4,2.1251,2.07646,2.03496,2.00001,1.96945,1.94192,1.91466,1.89091,1.87643,1.8762,1.89391,1.92905,1.9682,1.98725,1.97838,1.96439,1.97737,2.03925,2.1498,2.27351,2.35512,2.38066,2.37261,2.34625,2.30969,2.27017,2.23228,2.19602,2.16071,2.12824,2.10198,2.08335,2.07388,2.07558,2.09909,2.16877,2.3041,2.47799,11.02,8.82,N
2130620s5,2.03655,1.99262,1.95719,1.92833,1.90339,1.88161,1.86048,1.84353,1.83497,1.84287,1.87057,1.91726,1.96888,1.99643,1.99349,1.98522,2.0082,2.08515,2.21071,2.34633,2.43699,2.46635,2.45742,2.42787,2.38748,2.34375,2.30177,2.26187,2.22315,2.18926,2.1617,2.14329,2.13473,2.13821,2.16481,2.24024,2.38852,2.57842,9.68,10.17,N
2130856s2,2.0317,1.98838,1.95167,1.92043,1.89176,1.86724,1.84374,1.82362,1.81179,1.8125,1.82903,1.86127,1.89615,1.91164,1.90085,1.89205,1.90757,1.968,2.07005,2.18031,2.25249,2.27586,2.26979,2.24712,2.21426,2.17821,2.14324,2.1094,2.07587,2.04596,2.02257,2.00708,2.00048,2.00472,2.02985,2.09852,2.23158,2.39714,13.74,9.6,N
2130533s3,2.00162,1.96002,1.92615,1.89841,1.875,1.85425,1.8339,1.81658,1.80862,1.81477,1.83863,1.87931,1.923,1.94581,1.94142,1.9335,1.95395,2.0221,2.13346,2.25299,2.33339,2.3618,2.35745,2.33472,2.30083,2.26303,2.2261,2.19025,2.15507,2.1241,2.10017,2.08451,2.07811,2.08298,2.10957,2.18206,2.32091,2.49409,11.77,10.29,N
2141228s6,2.94318,2.88153,2.82509,2.7806,2.74342,2.70751,2.67285,2.64311,2.62389,2.62049,2.6367,2.67343,2.71257,2.72699,2.71293,2.69748,2.71418,2.7837,2.90058,3.02572,3.10722,3.13165,3.12211,3.0923,3.05078,3.00449,2.9589,2.91647,2.87215,2.83265,2.80149,2.78042,2.77081,2.77479,2.80363,2.8852,3.04377,3.23709,14.49,10.26,N
2140723s8,1.88051,1.84107,1.80781,1.77919,1.75387,1.7311,1.7102,1.69832,1.69598,1.70071,1.72013,1.75264,1.787,1.80141,1.79196,1.77948,1.79172,1.84762,1.94562,2.05284,2.12322,2.14711,2.1433,2.12384,2.0938,2.06037,2.02784,1.9958,1.96363,1.93454,1.91146,1.89576,1.88863,1.89234,1.91746,1.99037,2.12026,2.27976,12.38,8.53,N
2131304s10,2.29861,2.25085,2.21139,2.17795,2.1483,2.1212,2.09407,2.0704,2.05631,2.05732,2.07728,2.11577,2.15907,2.17977,2.16981,2.15499,2.16921,2.23532,2.35141,2.48105,2.56833,2.5964,2.58841,2.56041,2.52028,2.47615,2.43351,2.39229,2.35202,2.31588,2.28664,2.26617,2.25594,2.25818,2.2839,2.35902,2.50618,2.69355,11.94,9.4,N
2140722s10,1.84264,1.8066,1.7783,1.75551,1.73622,1.71905,1.70156,1.68635,1.67939,1.68604,1.70959,1.74905,1.79166,1.81573,1.81371,1.80632,1.8244,1.8882,1.99507,2.11201,2.19003,2.21594,2.20959,2.18591,2.15241,2.11661,2.08236,2.04973,2.01792,1.98976,1.96723,1.95207,1.94524,1.94862,1.97224,2.03831,2.16597,2.32901,9.89,9.66,N
2140924s7,2.33237,2.27903,2.23627,2.19975,2.1677,2.13946,2.11249,2.08923,2.07599,2.078,2.09934,2.1393,2.1826,2.20404,2.19767,2.18832,2.20896,2.2793,2.39374,2.51713,2.60164,2.63176,2.62718,2.60273,2.56521,2.52256,2.48047,2.43935,2.39907,2.36415,2.33679,2.3188,2.31137,2.31591,2.34381,2.4199,2.56788,2.75175,13.56,11.09,N
2131126s1,1.79456,1.76304,1.73768,1.71746,1.6996,1.68372,1.66821,1.65534,1.65052,1.6578,1.68079,1.71885,1.75873,1.77835,1.77286,1.7639,1.78032,1.84092,1.94276,2.05362,2.12708,2.15216,2.14859,2.12872,2.09824,2.06432,2.03096,1.99847,1.96587,1.93669,1.91377,1.89862,1.89222,1.8967,1.92168,1.98968,2.11889,2.27822,13.05,9.26,N
2140300s6,2.2015,2.15269,2.1128,2.07994,2.05178,2.02731,2.00335,1.98292,1.97347,1.9816,2.01211,2.06433,2.11994,2.1523,2.14992,2.14102,2.16637,2.25093,2.3889,2.53754,2.63641,2.66809,2.65768,2.62554,2.58196,2.53558,2.4907,2.44791,2.40619,2.36924,2.34015,2.3194,2.30938,2.31257,2.34104,2.42093,2.57666,2.7699,7.27,10.1,N
2131294s3,1.94526,1.90526,1.8718,1.84459,1.82142,1.80067,1.78031,1.7632,1.7553,1.76106,1.78447,1.82509,1.86851,1.88973,1.88278,1.871,1.8861,1.94942,2.0597,2.18284,2.26504,2.294,2.28915,2.26659,2.23221,2.19411,2.15694,2.12071,2.08488,2.05255,2.02656,2.00861,1.99989,2.00257,2.02717,2.09817,2.23502,2.40576,12.67,8.89,N
2130524s3,1.87133,1.8332,1.80172,1.775,1.75201,1.73282,1.71529,1.70146,1.69567,1.70232,1.72467,1.76249,1.80145,1.81937,1.81347,1.80665,1.82715,1.89206,1.99431,2.10185,2.17229,2.19733,2.19499,2.17629,2.14666,2.11292,2.07936,2.04624,2.01304,1.98394,1.96215,1.94857,1.94403,1.95003,1.97715,2.04932,2.18386,2.34791,14.18,10.37,N
2140644s4,2.00809,1.96575,1.93053,1.90022,1.87334,1.84928,1.82605,1.80608,1.7951,1.79778,1.81746,1.85398,1.89359,1.91254,1.90367,1.88972,1.90241,1.9636,2.07379,2.19774,2.27901,2.30479,2.29772,2.27271,2.23763,2.19996,2.16376,2.12888,2.0939,2.06206,2.03636,2.01796,2.00836,2.00994,2.03359,2.10249,2.23608,2.40503,10.38,8.12,N
2131841s8,2.45084,2.38957,2.33606,2.28955,2.24885,2.21294,2.17835,2.14909,2.13059,2.12708,2.14266,2.17703,2.21449,2.22831,2.21376,2.19673,2.21058,2.27671,2.39078,2.5156,2.59747,2.62387,2.61761,2.59267,2.55413,2.51082,2.46751,2.425,2.38319,2.34552,2.31593,2.29593,2.28744,2.29203,2.3213,2.40171,2.55575,2.74356,15.53,9.65,N
2140826s6,1.96052,1.92349,1.89327,1.86779,1.84581,1.82619,1.80702,1.79068,1.78271,1.78694,1.80647,1.84118,1.87819,1.89559,1.88786,1.87599,1.88859,1.94509,2.04441,2.15492,2.22846,2.25322,2.24878,2.22805,2.19684,2.16206,2.12835,2.0953,2.06248,2.03306,2.00939,1.99315,1.98536,1.98796,2.01098,2.0765,2.20291,2.36204,12.5,8.81,N
2130933s3,1.8444,1.80441,1.77249,1.74644,1.72464,1.70642,1.68914,1.6749,1.66908,1.67733,1.70105,1.74582,1.79143,1.81715,1.81684,1.81394,1.84005,1.91408,2.02796,2.14627,2.22378,2.24953,2.24269,2.21818,2.18381,2.14624,2.1101,2.07545,2.0417,2.01256,1.99067,1.97696,1.97249,1.97882,2.006,2.0782,2.21607,2.39055,12.05,11.3,N
2131585s4,1.88202,1.84734,1.81904,1.79545,1.77494,1.75655,1.7387,1.7239,1.71714,1.72305,1.74501,1.78268,1.82217,1.84038,1.83227,1.82006,1.83259,1.88952,1.99103,2.10475,2.18027,2.20634,2.2038,2.18453,2.15415,2.1202,2.08684,2.05394,2.02083,1.99083,1.96655,1.94958,1.94114,1.94327,1.96631,2.03274,2.15873,2.31452,13.78,8.37,N
2130784s5,1.85761,1.82129,1.79141,1.76715,1.74652,1.72795,1.70931,1.69348,1.68618,1.69258,1.7155,1.75429,1.79391,1.81805,1.81304,1.80267,1.81813,1.88005,1.98667,2.10466,2.18254,2.20757,2.20096,2.17714,2.1431,2.10609,2.0706,2.03644,2.00325,1.97317,1.94918,1.9326,1.92476,1.92756,1.95044,2.01656,2.14573,2.30981,9.51,9.08,N
2131116s2,1.78643,1.75133,1.72296,1.69984,1.68033,1.66396,1.64837,1.63544,1.63115,1.63996,1.66564,1.70746,1.75208,1.77598,1.77382,1.76852,1.79119,1.86113,1.97297,2.09167,2.16949,2.19565,2.19008,2.16721,2.1341,2.09826,2.06376,2.0307,1.99789,1.96906,1.94687,1.93254,1.92686,1.93216,1.95861,2.02992,2.16518,2.33432,10.72,10.08,N
2130176s8,2.1238,2.07674,2.03764,2.00463,1.97579,1.94929,1.92314,1.90052,1.88758,1.88873,1.90755,1.9437,1.98273,1.99945,1.9884,1.97408,1.98645,2.04579,2.15149,2.27029,2.3514,2.38057,2.37811,2.35711,2.32354,2.2852,2.24715,2.20974,2.1727,2.13951,2.11281,2.09444,2.08584,2.08878,2.11389,2.18535,2.32327,2.49468,15.04,9.09,N
2130626s2,1.8164,1.77651,1.74369,1.71681,1.69427,1.67517,1.65664,1.64073,1.63333,1.63873,1.66058,1.69817,1.73835,1.75937,1.75677,1.75249,1.77558,1.84319,1.94726,2.05414,2.12321,2.14549,2.13977,2.1183,2.08717,2.05281,2.02033,1.98742,1.95606,1.92882,1.90837,1.89571,1.89171,1.89782,1.92358,1.99235,2.1211,2.28111,12.25,11.15,N
2130372s10,2.01183,1.96508,1.92581,1.89196,1.86213,1.83545,1.81005,1.78828,1.77523,1.7751,1.79221,1.82558,1.86187,1.87867,1.87035,1.85898,1.87486,1.93711,2.04144,2.15457,2.22923,2.25354,2.24718,2.2234,2.18906,2.1513,2.11451,2.07895,2.04405,2.01315,1.98896,1.97286,1.96599,1.96989,1.99509,2.06503,2.20004,2.37052,12.37,10.02,N
2130858s6,1.95806,1.91632,1.88232,1.85452,1.83112,1.81111,1.79154,1.77482,1.76749,1.77512,1.8024,1.84826,1.89777,1.9254,1.92296,1.91556,1.93885,2.01502,2.13911,2.27167,2.35858,2.38601,2.37699,2.34837,2.30935,2.26736,2.22717,2.18872,2.15132,2.11785,2.09173,2.07421,2.06629,2.07031,2.09699,2.17198,2.31848,2.50395,9.67,10.07,N
2130618s3,2.04002,1.99388,1.95563,1.92285,1.89349,1.86769,1.84394,1.82472,1.81502,1.81878,1.83967,1.8771,1.91669,1.93349,1.92356,1.91144,1.9277,1.99195,2.10091,2.21853,2.29561,2.32133,2.31728,2.29575,2.26225,2.2244,2.18718,2.15035,2.11301,2.07979,2.0537,2.0364,2.02922,2.03311,2.06051,2.13623,2.27846,2.45237,14.64,9.26,N
