SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,Exclude
4R1,1.7536,1.7756,1.8058,1.8421,1.8832,1.9254,1.9635,1.9987,2.0339,2.0709,2.1102,2.1479,2.1806,2.2147,2.2626,2.3329,2.4334,2.542,2.6049,2.6191,2.6057,2.575,2.5341,2.4881,2.4419,2.3996,2.363,2.3332,2.3111,2.298,2.2938,2.2978,2.308,2.3252,2.3634,2.4559,2.6223,2.8056,3.1,73.6,94.3,CL,N,N
8R1,1.7665,1.7504,1.7528,1.7702,1.7983,1.829,1.855,1.8788,1.9045,1.934,1.9679,2.0015,2.0309,2.063,2.1116,2.1854,2.293,2.409,2.4712,2.4772,2.4524,2.4085,2.3541,2.2948,2.2363,2.1835,2.1389,2.1041,2.0806,2.0699,2.0723,2.0863,2.1093,2.1408,2.1973,2.313,2.5075,2.7149,3.3,73.7,94.4,CL,N,N
26R2,1.7793,1.792,1.8153,1.8462,1.8825,1.9188,1.9494,1.9782,2.0107,2.0508,2.1008,2.1544,2.2112,2.2772,2.3393,2.3808,2.4433,2.5351,2.5897,2.5949,2.5766,2.5478,2.5156,2.4809,2.4458,2.4118,2.3758,2.3415,2.3156,2.3015,2.2986,2.3069,2.3265,2.3583,2.4175,2.5396,2.748,2.9837,38.9,45.4,60.1,CL,Y,Y
26R2,1.7793,1.792,1.8153,1.8462,1.8825,1.9188,1.9494,1.9782,2.0107,2.0508,2.1008,2.1544,2.2112,2.2772,2.3393,2.3808,2.4433,2.5351,2.5897,2.5949,2.5766,2.5478,2.5156,2.4809,2.4458,2.4118,2.3758,2.3415,2.3156,2.3015,2.2986,2.3069,2.3265,2.3583,2.4175,2.5396,2.748,2.9837,38.9,45.4,60.1,CL,Y,Y
28R1,1.7799,1.7976,1.8207,1.8482,1.8802,1.9114,1.9372,1.962,1.9913,2.0301,2.0812,2.1374,2.1987,2.272,2.3358,2.362,2.4068,2.4912,2.5474,2.5581,2.546,2.5227,2.4946,2.4611,2.4248,2.3871,2.3437,2.2998,2.2655,2.2457,2.2401,2.248,2.2701,2.3073,2.3747,2.51,2.7363,2.9884,45,43.4,57.7,CL,Y,Y
28R1,1.7799,1.7976,1.8207,1.8482,1.8802,1.9114,1.9372,1.962,1.9913,2.0301,2.0812,2.1374,2.1987,2.272,2.3358,2.362,2.4068,2.4912,2.5474,2.5581,2.546,2.5227,2.4946,2.4611,2.4248,2.3871,2.3437,2.2998,2.2655,2.2457,2.2401,2.248,2.2701,2.3073,2.3747,2.51,2.7363,2.9884,45,43.4,57.7,CL,Y,Y
7R2,1.7824,1.7886,1.808,1.8369,1.8728,1.9107,1.9441,1.9753,2.0073,2.042,2.0798,2.1168,2.1493,2.1842,2.2355,2.312,2.4225,2.5428,2.6093,2.6182,2.5959,2.555,2.5041,2.4488,2.3944,2.3451,2.3032,2.27,2.2467,2.2344,2.2334,2.2425,2.2596,2.2849,2.3342,2.443,2.6338,2.8424,3.4,73.7,94.4,CL,N,N
5R1,1.7893,1.8063,1.8338,1.8688,1.9088,1.9499,1.9867,2.0213,2.0562,2.0928,2.1318,2.1698,2.2036,2.2393,2.2897,2.3634,2.4689,2.5838,2.6494,2.6619,2.6448,2.6092,2.5635,2.5127,2.4619,2.4156,2.3758,2.3437,2.3206,2.3071,2.3036,2.3088,2.3207,2.3391,2.3793,2.4755,2.6505,2.8447,3,73.6,94.3,CL,N,N
28R2,1.7964,1.8138,1.837,1.8652,1.8981,1.9306,1.9572,1.9826,2.0125,2.0521,2.1043,2.1615,2.2238,2.298,2.3629,2.3902,2.4368,2.5231,2.58,2.5904,2.5775,2.5533,2.5241,2.4897,2.4526,2.4142,2.3702,2.3258,2.2911,2.2712,2.2655,2.2735,2.2962,2.334,2.4028,2.54,2.7692,3.0237,45.4,43.2,57.5,CL,Y,Y
4R2,1.7964,1.8139,1.8421,1.8777,1.918,1.9598,1.9973,2.0325,2.0682,2.1056,2.1454,2.1842,2.2189,2.2557,2.3076,2.3833,2.4915,2.6091,2.6757,2.6867,2.6675,2.6303,2.5836,2.5327,2.4823,2.4366,2.3977,2.3662,2.3436,2.3308,2.3275,2.3329,2.3453,2.3644,2.4055,2.5037,2.6826,2.8812,3.1,73.6,94.3,CL,N,N
28R2,1.7964,1.8138,1.837,1.8652,1.8981,1.9306,1.9572,1.9826,2.0125,2.0521,2.1043,2.1615,2.2238,2.298,2.3629,2.3902,2.4368,2.5231,2.58,2.5904,2.5775,2.5533,2.5241,2.4897,2.4526,2.4142,2.3702,2.3258,2.2911,2.2712,2.2655,2.2735,2.2962,2.334,2.4028,2.54,2.7692,3.0237,45.4,43.2,57.5,CL,Y,Y
29R2,1.8008,1.8195,1.8435,1.8724,1.9058,1.9387,1.9654,1.9904,2.0201,2.0595,2.1118,2.1702,2.2353,2.3135,2.3801,2.4046,2.4472,2.5309,2.5864,2.596,2.5828,2.559,2.5311,2.4982,2.4625,2.425,2.3812,2.3363,2.3009,2.2802,2.2736,2.2808,2.3021,2.3384,2.4052,2.5413,2.7707,3.0277,47.7,39.3,52.8,CL,Y,Y
29R2,1.8008,1.8195,1.8435,1.8724,1.9058,1.9387,1.9654,1.9904,2.0201,2.0595,2.1118,2.1702,2.2353,2.3135,2.3801,2.4046,2.4472,2.5309,2.5864,2.596,2.5828,2.559,2.5311,2.4982,2.4625,2.425,2.3812,2.3363,2.3009,2.2802,2.2736,2.2808,2.3021,2.3384,2.4052,2.5413,2.7707,3.0277,47.7,39.3,52.8,CL,Y,Y
2R2,1.8024,1.8287,1.8631,1.9033,1.9477,1.993,2.0337,2.0716,2.1093,2.1487,2.1905,2.2306,2.2656,2.3024,2.3545,2.4306,2.5393,2.6572,2.7241,2.7362,2.7187,2.6833,2.6384,2.5892,2.5405,2.4962,2.4582,2.4273,2.4046,2.3911,2.3867,2.391,2.4018,2.4203,2.4616,2.5602,2.7384,2.9359,2.8,73.6,94.3,CL,N,N
2R1,1.8037,1.8252,1.8559,1.8929,1.9348,1.9777,2.0166,2.053,2.0895,2.1279,2.1687,2.2079,2.2419,2.2772,2.3276,2.4016,2.5079,2.624,2.6915,2.7064,2.6918,2.6583,2.6138,2.5635,2.5129,2.4664,2.4262,2.3935,2.3696,2.3556,2.3512,2.356,2.3675,2.3865,2.4279,2.5261,2.7028,2.8981,2.8,73.6,94.3,CL,N,N
3R2,1.8071,1.8301,1.8624,1.9013,1.9446,1.9892,2.0294,2.0667,2.104,2.143,2.1846,2.2247,2.2599,2.2972,2.3499,2.4268,2.5365,2.6557,2.7233,2.7352,2.7168,2.6804,2.6344,2.5839,2.5341,2.4889,2.4501,2.4187,2.3959,2.3824,2.3786,2.3835,2.3951,2.4144,2.4562,2.5564,2.7362,2.9361,3.4,72.8,93.3,CL,N,N
10R1,1.8089,1.8227,1.846,1.8765,1.9126,1.9501,1.9834,2.0144,2.046,2.0796,2.1159,2.1513,2.1826,2.2162,2.2663,2.3421,2.4523,2.573,2.6411,2.6522,2.632,2.5928,2.543,2.4881,2.4334,2.3836,2.3409,2.3066,2.2821,2.2686,2.2661,2.2736,2.2886,2.3115,2.3575,2.4629,2.6509,2.8565,3,74.3,95.1,CL,N,N
30R2,1.8099,1.8295,1.8551,1.8856,1.9201,1.9541,1.9822,2.0093,2.0408,2.0819,2.1354,2.194,2.2575,2.3331,2.3991,2.427,2.4735,2.5601,2.6175,2.6287,2.6165,2.593,2.5647,2.5309,2.4943,2.4563,2.4126,2.3684,2.3337,2.3135,2.3074,2.3148,2.3364,2.3728,2.4399,2.5757,2.8036,3.059,46.6,42.4,56.5,CL,Y,Y
30R2,1.8099,1.8295,1.8551,1.8856,1.9201,1.9541,1.9822,2.0093,2.0408,2.0819,2.1354,2.194,2.2575,2.3331,2.3991,2.427,2.4735,2.5601,2.6175,2.6287,2.6165,2.593,2.5647,2.5309,2.4943,2.4563,2.4126,2.3684,2.3337,2.3135,2.3074,2.3148,2.3364,2.3728,2.4399,2.5757,2.8036,3.059,46.6,42.4,56.5,CL,Y,Y
9R1,1.8125,1.7929,1.7944,1.8117,1.8395,1.8708,1.8975,1.9224,1.9496,1.9807,2.0164,2.052,2.0837,2.1181,2.1694,2.2471,2.3597,2.4822,2.548,2.5524,2.524,2.4763,2.4185,2.3562,2.2952,2.2404,2.1942,2.158,2.1337,2.1227,2.1245,2.1384,2.1614,2.1935,2.2499,2.3675,2.5681,2.7822,3,73.7,94.4,CL,N,N
10R2,1.813,1.8263,1.8507,1.8823,1.9192,1.9576,1.9918,2.0242,2.0573,2.0925,2.1305,2.1674,2.1996,2.2339,2.2848,2.3616,2.4726,2.5944,2.6625,2.6719,2.6497,2.609,2.5584,2.5035,2.4493,2.4003,2.3584,2.3248,2.3011,2.288,2.2855,2.2929,2.3081,2.3316,2.3787,2.4851,2.6743,2.8835,3,74.3,95.1,CL,N,N
32R2,1.8161,1.8352,1.8598,1.8896,1.9242,1.9581,1.9859,2.012,2.0427,2.0833,2.1369,2.196,2.2609,2.3382,2.4036,2.4272,2.4692,2.5516,2.606,2.6159,2.6037,2.5815,2.5554,2.5243,2.4905,2.455,2.4129,2.3698,2.3357,2.3159,2.3097,2.3169,2.3382,2.3745,2.4417,2.5772,2.8044,3.0588,44.4,43.1,57.4,CL,Y,Y
32R2,1.8161,1.8352,1.8598,1.8896,1.9242,1.9581,1.9859,2.012,2.0427,2.0833,2.1369,2.196,2.2609,2.3382,2.4036,2.4272,2.4692,2.5516,2.606,2.6159,2.6037,2.5815,2.5554,2.5243,2.4905,2.455,2.4129,2.3698,2.3357,2.3159,2.3097,2.3169,2.3382,2.3745,2.4417,2.5772,2.8044,3.0588,44.4,43.1,57.4,CL,Y,Y
