SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude,Exclude,
50B18B,1.97306,1.97856,1.98915,2.01502,2.05106,2.08750,2.11158,2.12947,2.15496,2.19673,2.25862,2.33032,2.41488,2.51687,2.59186,2.59414,2.62395,2.70815,2.76338,2.77115,2.75604,2.73225,2.70627,2.67452,2.63860,2.59871,2.54691,2.49126,2.44608,2.42032,2.41270,2.42283,2.45173,2.49933,2.58112,2.73924,3.00357,3.30457,54.50000,36.13000,45.50000,8.00000,11:57,-1,-177,0.00,0.00,65280,Y,Y,
50B19A,2.29070,2.25830,2.24910,2.26900,2.30520,2.34340,2.36880,2.38860,2.41770,2.46500,2.53440,2.61510,2.70950,2.82330,2.91260,2.92740,2.97110,3.07150,3.13160,3.13070,3.10050,3.05870,3.01390,2.96330,2.91000,2.85490,2.79000,2.72400,2.67210,2.64410,2.63830,2.65360,2.69010,2.74700,2.84140,3.02180,3.32670,3.68570,48.45000,40.55000,51.55000,37.50000,50CL,7/06/2011,12:23:14,0.00,0.00,65280,N,N,
50B22A,2.20486,2.21295,2.22960,2.26241,2.30622,2.35129,2.38332,2.40867,2.44104,2.48913,2.55682,2.63471,2.72448,2.83229,2.91923,2.93627,2.97992,3.07978,3.14489,3.15346,3.13391,3.10249,3.06722,3.02519,2.97908,2.93008,2.87021,2.80750,2.75643,2.72625,2.71534,2.72307,2.75036,2.79644,2.87883,3.04290,3.32339,3.63966,49.20000,40.00000,50.80000,25.00000,11:13,-1,-170,0.00,0.00,65280,Y,Y,
50B22A,2.37790,2.39450,2.41600,2.45230,2.49990,2.54890,2.58400,2.61180,2.64670,2.69810,2.77010,2.85250,2.94650,3.05920,3.15310,3.17900,3.23790,3.35920,3.43980,3.45410,3.43350,3.39590,3.35090,3.29580,3.23520,3.17100,3.09590,3.01900,2.95610,2.91810,2.90340,2.91150,2.94260,2.99580,3.09090,3.28120,3.61190,4.02320,47.30000,41.43000,52.70000,42.30000,50CL,7/04/2011,2:09:52,0.00,0.00,65280,N,N,
50B22B,2.10205,2.10743,2.12129,2.15171,2.19309,2.23554,2.26526,2.28818,2.31788,2.36239,2.42538,2.49798,2.58189,2.68266,2.76402,2.78235,2.82723,2.92354,2.98356,2.98869,2.96722,2.93532,2.90093,2.86135,2.81879,2.77411,2.71993,2.66329,2.61743,2.59085,2.58215,2.59091,2.61789,2.66265,2.74197,2.89922,3.16744,3.47312,49.20000,40.00000,50.80000,25.00000,11:16,-1,-177,0.00,0.00,65280,Y,Y,
50B25A,2.58420,2.60480,2.63320,2.67590,2.72960,2.78500,2.82640,2.86030,2.90130,2.95840,3.03600,3.12410,3.22410,3.34380,3.44410,3.47240,3.53220,3.65720,3.74040,3.75280,3.72840,3.68630,3.63690,3.57750,3.51230,3.44350,3.36330,3.28070,3.21250,3.16960,3.15070,3.15450,3.18220,3.23310,3.32810,3.52450,3.88220,4.39250,47.00000,41.55000,53.00000,42.60000,50CL,7/07/2011,2:12:49,0.00,0.00,65280,N,N,
50B27A,2.32383,2.32763,2.34172,2.37525,2.42239,2.47203,2.50763,2.53562,2.57091,2.62258,2.69428,2.77565,2.86897,2.98133,3.07743,3.11548,3.19063,3.32331,3.40754,3.42037,3.39608,3.35331,3.30216,3.24121,3.17581,3.10863,3.03373,2.95958,2.90090,2.86774,2.85842,2.87187,2.90708,2.96254,3.05830,3.24369,3.55211,3.86815,42.10000,45.75000,57.90000,26.00000,1:30,-1,-168,0.00,0.00,65280,N,N,
50B27B,2.18880,2.18930,2.19982,2.23027,2.27423,2.32036,2.35265,2.37719,2.40853,2.45522,2.52057,2.59499,2.68082,2.78432,2.87337,2.91154,2.98570,3.11099,3.18609,3.19237,3.16446,3.12099,3.07183,3.01567,2.95682,2.89725,2.83122,2.76618,2.71490,2.68660,2.67986,2.69387,2.72810,2.78120,2.87237,3.04897,3.34376,3.65433,42.10000,45.75000,57.90000,26.00000,1:33,-1,-177,0.00,0.00,65280,N,N,
50B33A,2.46036,2.47549,2.49622,2.53283,2.58242,2.63430,2.67040,2.69835,2.73456,2.78924,2.86730,2.95747,3.06216,3.18948,3.29732,3.33364,3.40893,3.55335,3.64694,3.65883,3.62929,3.58032,3.52322,3.45568,3.38285,3.30680,3.21988,3.13268,3.06262,3.02160,3.00815,3.02121,3.06076,3.12450,3.23328,3.44023,3.77797,4.09877,44.80000,43.20000,55.20000,25.00000,1:40,-1,-168,0.00,0.00,65280,N,N,
50B33B,2.60775,2.62566,2.64981,2.69069,2.74572,2.80296,2.84331,2.87492,2.91542,2.97586,3.06162,3.16053,3.27498,3.41421,3.53368,3.57597,3.66022,3.82061,3.92515,3.93768,3.90395,3.84854,3.78416,3.70835,3.62691,3.54194,3.44537,3.34893,3.27141,3.22573,3.21049,3.22430,3.26724,3.33671,3.45428,3.67746,4.03587,4.34568,44.80000,43.20000,55.20000,25.00000,1:43,-1,-177,0.00,0.00,65280,Y,Y,
