SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude
50B19A,2.2907,2.2583,2.2491,2.269,2.3052,2.3434,2.3688,2.3886,2.4177,2.465,2.5344,2.6151,2.7095,2.8233,2.9126,2.9274,2.9711,3.0715,3.1316,3.1307,3.1005,3.0587,3.0139,2.9633,2.91,2.8549,2.79,2.724,2.6721,2.6441,2.6383,2.6536,2.6901,2.747,2.8414,3.0218,3.3267,3.6857,48.45,40.55,51.55,37.5,50CL,7/06/2011,12:23:14,0,0,65280,N
50B22A,2.20486,2.21295,2.2296,2.26241,2.30622,2.35129,2.38332,2.40867,2.44104,2.48913,2.55682,2.63471,2.72448,2.83229,2.91923,2.93627,2.97992,3.07978,3.14489,3.15346,3.13391,3.10249,3.06722,3.02519,2.97908,2.93008,2.87021,2.8075,2.75643,2.72625,2.71534,2.72307,2.75036,2.79644,2.87883,3.0429,3.32339,3.63966,49.2,40,50.8,25,11:13,-1,-170,0,0,65280,Y
50B22A,2.3779,2.3945,2.416,2.4523,2.4999,2.5489,2.584,2.6118,2.6467,2.6981,2.7701,2.8525,2.9465,3.0592,3.1531,3.179,3.2379,3.3592,3.4398,3.4541,3.4335,3.3959,3.3509,3.2958,3.2352,3.171,3.0959,3.019,2.9561,2.9181,2.9034,2.9115,2.9426,2.9958,3.0909,3.2812,3.6119,4.0232,47.3,41.43,52.7,42.3,50CL,7/04/2011,2:09:52,0,0,65280,N
50B22B,2.10205,2.10743,2.12129,2.15171,2.19309,2.23554,2.26526,2.28818,2.31788,2.36239,2.42538,2.49798,2.58189,2.68266,2.76402,2.78235,2.82723,2.92354,2.98356,2.98869,2.96722,2.93532,2.90093,2.86135,2.81879,2.77411,2.71993,2.66329,2.61743,2.59085,2.58215,2.59091,2.61789,2.66265,2.74197,2.89922,3.16744,3.47312,49.2,40,50.8,25,11:16,-1,-177,0,0,65280,Y
50B25A,2.5842,2.6048,2.6332,2.6759,2.7296,2.785,2.8264,2.8603,2.9013,2.9584,3.036,3.1241,3.2241,3.3438,3.4441,3.4724,3.5322,3.6572,3.7404,3.7528,3.7284,3.6863,3.6369,3.5775,3.5123,3.4435,3.3633,3.2807,3.2125,3.1696,3.1507,3.1545,3.1822,3.2331,3.3281,3.5245,3.8822,4.3925,47,41.55,53,42.6,50CL,7/07/2011,2:12:49,0,0,65280,N
50B27A,2.32383,2.32763,2.34172,2.37525,2.42239,2.47203,2.50763,2.53562,2.57091,2.62258,2.69428,2.77565,2.86897,2.98133,3.07743,3.11548,3.19063,3.32331,3.40754,3.42037,3.39608,3.35331,3.30216,3.24121,3.17581,3.10863,3.03373,2.95958,2.9009,2.86774,2.85842,2.87187,2.90708,2.96254,3.0583,3.24369,3.55211,3.86815,42.1,45.75,57.9,26,1:30,-1,-168,0,0,65280,N
50B27B,2.1888,2.1893,2.19982,2.23027,2.27423,2.32036,2.35265,2.37719,2.40853,2.45522,2.52057,2.59499,2.68082,2.78432,2.87337,2.91154,2.9857,3.11099,3.18609,3.19237,3.16446,3.12099,3.07183,3.01567,2.95682,2.89725,2.83122,2.76618,2.7149,2.6866,2.67986,2.69387,2.7281,2.7812,2.87237,3.04897,3.34376,3.65433,42.1,45.75,57.9,26,1:33,-1,-177,0,0,65280,N
50B33A,2.46036,2.47549,2.49622,2.53283,2.58242,2.6343,2.6704,2.69835,2.73456,2.78924,2.8673,2.95747,3.06216,3.18948,3.29732,3.33364,3.40893,3.55335,3.64694,3.65883,3.62929,3.58032,3.52322,3.45568,3.38285,3.3068,3.21988,3.13268,3.06262,3.0216,3.00815,3.02121,3.06076,3.1245,3.23328,3.44023,3.77797,4.09877,44.8,43.2,55.2,25,1:40,-1,-168,0,0,65280,N
50B33B,2.60775,2.62566,2.64981,2.69069,2.74572,2.80296,2.84331,2.87492,2.91542,2.97586,3.06162,3.16053,3.27498,3.41421,3.53368,3.57597,3.66022,3.82061,3.92515,3.93768,3.90395,3.84854,3.78416,3.70835,3.62691,3.54194,3.44537,3.34893,3.27141,3.22573,3.21049,3.2243,3.26724,3.33671,3.45428,3.67746,4.03587,4.34568,44.8,43.2,55.2,25,1:43,-1,-177,0,0,65280,Y
50B8A,2.52441,2.49958,2.49815,2.5244,2.56759,2.61464,2.64839,2.67533,2.70995,2.76074,2.83113,2.91112,3.00087,3.10687,3.19927,3.23941,3.31384,3.44004,3.51496,3.51851,3.48536,3.43453,3.3764,3.31058,3.24222,3.17393,3.10001,3.0283,2.97235,2.94141,2.93393,2.94867,2.98462,3.04038,3.1356,3.32066,3.63074,3.96805,42.5,44.95,57.5,7,10:28,-1,-170,0,0,65280,N
50B8B,2.5479,2.51992,2.51623,2.54108,2.58389,2.63086,2.6644,2.69108,2.72563,2.77682,2.84815,2.9298,3.02178,3.13022,3.22477,3.26687,3.34453,3.47461,3.55185,3.55568,3.52173,3.46946,3.40957,3.34148,3.27077,3.20014,3.12394,3.0503,2.9932,2.96193,2.955,2.97104,3.00838,3.06543,3.1623,3.35,3.66339,4.00198,42.5,44.95,57.5,7,10:31,-1,-173,0,0,65280,N
50BC,2.14465,2.13316,2.13541,2.15788,2.19384,2.23269,2.25995,2.28097,2.30869,2.35077,2.40977,2.47614,2.55126,2.64217,2.72216,2.75379,2.81358,2.91961,2.98496,2.99237,2.96995,2.9332,2.89047,2.84125,2.78986,2.73864,2.68154,2.62534,2.58186,2.55908,2.5555,2.56982,2.60199,2.65153,2.7346,2.8947,3.16381,3.46519,46.15,42.25,53.85,14,11:58,-1,-177,0,0,65280,N
50C17A,2.5676,2.5364,2.5305,2.5545,2.5969,2.6441,2.6784,2.7054,2.7397,2.7893,2.8571,2.9336,3.0186,3.1186,3.2115,3.2683,3.3621,3.5022,3.5829,3.5859,3.5489,3.492,3.4271,3.355,3.2815,3.2104,3.1373,3.069,3.0167,2.9883,2.983,2.9995,3.0361,3.0915,3.1864,3.3762,3.7124,4.1614,38.75,47.8,61.25,49.6,50CL,6/28/2011,12:05:25,0,0,65280,Y
50C20A,2.5357,2.548,2.5701,2.6093,2.661,2.7156,2.7577,2.7925,2.8335,2.8889,2.9624,3.0434,3.1327,3.2377,3.3304,3.3732,3.45,3.5799,3.6636,3.6788,3.6579,3.6185,3.5706,3.5135,3.4523,3.3894,3.3194,3.2496,3.193,3.1584,3.1445,3.1507,3.177,3.2233,3.3102,3.4929,3.8251,4.2964,44.35,42.4,55.65,48.6,50CL,6/29/2011,2:25:40,0,0,65280,Y
