SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,Exclude,Exclude,Exclude
95B13A,2.02894,1.95429,1.91368,1.90975,1.9272,1.95269,1.9699,1.9804,1.99454,2.01678,2.0465,2.07748,2.10581,2.1389,2.1912,2.27089,2.3892,2.51199,2.56688,2.55641,2.51037,2.44286,2.36383,2.27987,2.19836,2.12569,2.06512,2.01866,1.98809,1.97688,1.98493,2.01041,2.04949,2.10007,2.17782,2.32182,2.55865,2.81793,3.8,75,96.2,CL,N,N,N,N
95B17A,1.94942,1.88214,1.84492,1.84221,1.85967,1.88439,1.90049,1.90971,1.92241,1.94259,1.96975,1.99836,2.02496,2.05662,2.10714,2.18428,2.29894,2.4174,2.46965,2.4589,2.4143,2.34993,2.27558,2.19733,2.12192,2.05517,1.99993,1.95777,1.93021,1.92036,1.92832,1.95228,1.9889,2.03608,2.10912,2.24586,2.47218,2.72012,3.8,75,96.2,CL,N,N,N,N
95B17A,1.7146,1.6691,1.6435,1.6459,1.6656,1.6915,1.7083,1.7179,1.7304,1.7497,1.7757,1.8027,1.8268,1.856,1.9062,1.9869,2.107,2.2318,2.2925,2.2917,2.2577,2.2039,2.1397,2.0711,2.0044,1.9452,1.8967,1.86,1.8366,1.8296,1.8393,1.8639,1.9,1.9457,2.0162,2.1473,2.3628,2.5986,3.8,75,96.2,CL,N,N,N,N
95B17B,1.96973,1.89616,1.85448,1.8489,1.86429,1.8875,1.90215,1.9101,1.92191,1.94166,1.96888,1.99756,2.02403,2.05561,2.1066,2.18478,2.30125,2.42181,2.47461,2.46266,2.41598,2.34895,2.27151,2.18996,2.11133,2.04167,1.98399,1.94005,1.9115,1.90172,1.91072,1.93667,1.9758,2.02636,2.1035,2.24534,2.47841,2.73202,3.8,75,96.2,CL,N,N,N,N
95HS18A,1.85831,1.86942,1.88022,1.90418,1.9397,1.9799,2.00968,2.03044,2.05201,2.07814,2.10859,2.13781,2.16156,2.19006,2.24456,2.33781,2.47933,2.6311,2.71241,2.72231,2.69285,2.63909,2.57147,2.49669,2.42181,2.35311,2.29405,2.24609,2.21046,2.19108,2.18894,2.20267,2.22903,2.26725,2.33462,2.4724,2.70898,2.97104,3.8,75,96.2,CL,Y,Y,Y,Y
95B16B,1.7209,1.6907,1.6788,1.6913,1.7178,1.7491,1.7725,1.7892,1.8078,1.8314,1.8597,1.8879,1.9123,1.939,1.981,2.0463,2.1421,2.2403,2.2892,2.2911,2.2665,2.2255,2.1755,2.1217,2.0693,2.0225,1.9835,1.9531,1.9319,1.9225,1.9248,1.9376,1.9588,1.9878,2.0375,2.1382,2.3116,2.5059,3.8,75,96.2,CL,N,N,N,N
95B16A,1.7811,1.7487,1.7364,1.749,1.7765,1.8088,1.8332,1.8509,1.8706,1.8953,1.925,1.9546,1.9804,2.0087,2.0531,2.1221,2.2235,2.3279,2.3799,2.3815,2.3547,2.3104,2.2566,2.1986,2.1422,2.0918,2.0498,2.0169,1.9939,1.9835,1.9856,1.999,2.0211,2.0514,2.1033,2.2087,2.3912,2.5963,3.8,75,96.2,CL,N,N,N,N
95P5A,1.5016,1.4915,1.4827,1.4906,1.5114,1.5375,1.5545,1.5641,1.5763,1.5949,1.6198,1.6446,1.6656,1.6924,1.7432,1.8283,1.9569,2.0944,2.1726,2.192,2.1781,2.1423,2.0929,2.036,1.9785,1.9264,1.8831,1.8505,1.8306,1.8269,1.8394,1.8661,1.9035,1.95,2.0197,2.1464,2.3514,2.5683,3.9,74.78,96.1,73.7,N,N,N,N
85P6B,1.6561,1.6359,1.6224,1.6285,1.6498,1.6773,1.6949,1.7048,1.7176,1.7379,1.7657,1.7944,1.8211,1.8558,1.9156,2.0094,2.1508,2.3042,2.3889,2.4034,2.3796,2.3321,2.271,2.2028,2.135,2.074,2.0235,1.9852,1.9618,1.9573,1.9712,2.0015,2.0442,2.097,2.1758,2.3183,2.5499,2.7933,3.95,74.75,96.05,73,Y,Y,Y,Y
85P6A,1.6834,1.6617,1.6471,1.6531,1.6751,1.7032,1.7213,1.7315,1.7446,1.7655,1.794,1.8236,1.851,1.8867,1.9477,2.0435,2.1876,2.3439,2.4304,2.4462,2.4232,2.3757,2.3137,2.2441,2.1746,2.1119,2.0598,2.0202,1.9959,1.9909,2.0051,2.036,2.0795,2.1332,2.213,2.3582,2.593,2.8384,3.95,74.75,96.05,72.8,Y,Y,Y,Y
95HSB12A,1.84623,1.84248,1.84922,1.87448,1.9127,1.95576,1.9889,2.01363,2.03949,2.07014,2.10547,2.14013,2.17012,2.20376,2.25875,2.34556,2.47334,2.6079,2.67893,2.68686,2.66009,2.61246,2.55363,2.48987,2.4273,2.37125,2.32424,2.28701,2.2604,2.24713,2.24771,2.2607,2.28335,2.31527,2.37227,2.49179,2.70049,2.93496,4,74.8,96,CL,N,N,N,N
95HSB12B,1.83565,1.83992,1.85137,1.87999,1.92046,1.965,1.99918,2.0243,2.05007,2.0802,2.11454,2.14837,2.17809,2.21183,2.26645,2.35206,2.47748,2.60891,2.6773,2.6836,2.65648,2.61005,2.5539,2.4938,2.43525,2.38309,2.3394,2.30464,2.27949,2.26651,2.26623,2.27741,2.29743,2.32622,2.37923,2.49311,2.69454,2.9221,4,74.8,96,CL,N,N,N,N
95B25A,1.8716,1.8746,1.8848,1.9109,1.9487,1.9909,2.0235,2.0479,2.0731,2.1026,2.1364,2.1689,2.1963,2.227,2.2786,2.3619,2.4864,2.6189,2.6902,2.6998,2.675,2.6289,2.5706,2.5064,2.4425,2.3844,2.3348,2.2946,2.265,2.249,2.247,2.2579,2.2789,2.3093,2.3654,2.484,2.692,2.926,4,74.9,96,CL,N,N,N,N
