SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,
95B13A,2.02894,1.95429,1.91368,1.90975,1.92720,1.95269,1.96990,1.98040,1.99454,2.01678,2.04650,2.07748,2.10581,2.13890,2.19120,2.27089,2.38920,2.51199,2.56688,2.55641,2.51037,2.44286,2.36383,2.27987,2.19836,2.12569,2.06512,2.01866,1.98809,1.97688,1.98493,2.01041,2.04949,2.10007,2.17782,2.32182,2.55865,2.81793,3.80000,75.00000,96.20000,CL,Y,
95B17A,1.94942,1.88214,1.84492,1.84221,1.85967,1.88439,1.90049,1.90971,1.92241,1.94259,1.96975,1.99836,2.02496,2.05662,2.10714,2.18428,2.29894,2.41740,2.46965,2.45890,2.41430,2.34993,2.27558,2.19733,2.12192,2.05517,1.99993,1.95777,1.93021,1.92036,1.92832,1.95228,1.98890,2.03608,2.10912,2.24586,2.47218,2.72012,3.80000,75.00000,96.20000,CL,Y,
95B17A,1.71460,1.66910,1.64350,1.64590,1.66560,1.69150,1.70830,1.71790,1.73040,1.74970,1.77570,1.80270,1.82680,1.85600,1.90620,1.98690,2.10700,2.23180,2.29250,2.29170,2.25770,2.20390,2.13970,2.07110,2.00440,1.94520,1.89670,1.86000,1.83660,1.82960,1.83930,1.86390,1.90000,1.94570,2.01620,2.14730,2.36280,2.59860,3.80000,75.00000,96.20000,CL,Y,
95B17B,1.96973,1.89616,1.85448,1.84890,1.86429,1.88750,1.90215,1.91010,1.92191,1.94166,1.96888,1.99756,2.02403,2.05561,2.10660,2.18478,2.30125,2.42181,2.47461,2.46266,2.41598,2.34895,2.27151,2.18996,2.11133,2.04167,1.98399,1.94005,1.91150,1.90172,1.91072,1.93667,1.97580,2.02636,2.10350,2.24534,2.47841,2.73202,3.80000,75.00000,96.20000,CL,Y,
95HS18A,1.85831,1.86942,1.88022,1.90418,1.93970,1.97990,2.00968,2.03044,2.05201,2.07814,2.10859,2.13781,2.16156,2.19006,2.24456,2.33781,2.47933,2.63110,2.71241,2.72231,2.69285,2.63909,2.57147,2.49669,2.42181,2.35311,2.29405,2.24609,2.21046,2.19108,2.18894,2.20267,2.22903,2.26725,2.33462,2.47240,2.70898,2.97104,3.80000,75.00000,96.20000,CL,Y,
95B16B,1.72090,1.69070,1.67880,1.69130,1.71780,1.74910,1.77250,1.78920,1.80780,1.83140,1.85970,1.88790,1.91230,1.93900,1.98100,2.04630,2.14210,2.24030,2.28920,2.29110,2.26650,2.22550,2.17550,2.12170,2.06930,2.02250,1.98350,1.95310,1.93190,1.92250,1.92480,1.93760,1.95880,1.98780,2.03750,2.13820,2.31160,2.50590,3.80000,75.00000,96.20000,CL,Y,
95B16A,1.78110,1.74870,1.73640,1.74900,1.77650,1.80880,1.83320,1.85090,1.87060,1.89530,1.92500,1.95460,1.98040,2.00870,2.05310,2.12210,2.22350,2.32790,2.37990,2.38150,2.35470,2.31040,2.25660,2.19860,2.14220,2.09180,2.04980,2.01690,1.99390,1.98350,1.98560,1.99900,2.02110,2.05140,2.10330,2.20870,2.39120,2.59630,3.80000,75.00000,96.20000,CL,Y,
95HSB12A,1.84623,1.84248,1.84922,1.87448,1.91270,1.95576,1.98890,2.01363,2.03949,2.07014,2.10547,2.14013,2.17012,2.20376,2.25875,2.34556,2.47334,2.60790,2.67893,2.68686,2.66009,2.61246,2.55363,2.48987,2.42730,2.37125,2.32424,2.28701,2.26040,2.24713,2.24771,2.26070,2.28335,2.31527,2.37227,2.49179,2.70049,2.93496,4.00000,74.80000,96.00000,CL,Y,
95HSB12B,1.83565,1.83992,1.85137,1.87999,1.92046,1.96500,1.99918,2.02430,2.05007,2.08020,2.11454,2.14837,2.17809,2.21183,2.26645,2.35206,2.47748,2.60891,2.67730,2.68360,2.65648,2.61005,2.55390,2.49380,2.43525,2.38309,2.33940,2.30464,2.27949,2.26651,2.26623,2.27741,2.29743,2.32622,2.37923,2.49311,2.69454,2.92210,4.00000,74.80000,96.00000,CL,Y,
95B25A,1.87160,1.87460,1.88480,1.91090,1.94870,1.99090,2.02350,2.04790,2.07310,2.10260,2.13640,2.16890,2.19630,2.22700,2.27860,2.36190,2.48640,2.61890,2.69020,2.69980,2.67500,2.62890,2.57060,2.50640,2.44250,2.38440,2.33480,2.29460,2.26500,2.24900,2.24700,2.25790,2.27890,2.30930,2.36540,2.48400,2.69200,2.92600,4.00000,74.90000,96.00000,CL,Y,
95B17A,1.98910,1.92010,1.88300,1.88110,1.89920,1.92460,1.94180,1.95280,1.96730,1.98920,2.01800,2.04780,2.07480,2.10570,2.15440,2.22890,2.33970,2.45400,2.50530,2.49620,2.45380,2.39110,2.31730,2.23870,2.16220,2.09380,2.03670,1.99250,1.96290,1.95120,1.95740,1.97980,2.01460,2.06030,2.13200,2.26720,2.49210,2.74130,4.10000,74.70000,95.90000,CL,Y,
95B23A,1.86699,1.82714,1.80780,1.81596,1.84090,1.87200,1.89385,1.90860,1.92609,1.95027,1.98077,2.01167,2.03901,2.07088,2.12354,2.20626,2.32980,2.46000,2.52473,2.52506,2.49037,2.43446,2.36709,2.29463,2.22376,2.16037,2.10742,2.06629,2.03856,2.02759,2.03358,2.05487,2.08803,2.13197,2.20208,2.33640,2.56099,2.80701,4.10000,74.80000,95.90000,CL,Y,
95B23B,1.89056,1.84565,1.82354,1.83006,1.85430,1.88503,1.90670,1.92138,1.93892,1.96318,1.99387,2.02553,2.05420,2.08748,2.14137,2.22532,2.35022,2.48186,2.54746,2.54774,2.51223,2.45489,2.38576,2.31116,2.23797,2.17248,2.11776,2.07533,2.04684,2.03582,2.04233,2.06443,2.09837,2.14281,2.21313,2.34814,2.57492,2.82347,4.10000,74.80000,95.90000,CL,Y,
95B6A,2.11380,2.03140,1.98540,1.97770,1.99290,2.01620,2.03120,2.04010,2.05350,2.07550,2.10560,2.13720,2.16600,2.19960,2.25300,2.33470,2.45710,2.58560,2.64330,2.63190,2.58270,2.51040,2.42570,2.33540,2.24730,2.16830,2.10200,2.05070,2.01670,2.00390,2.01230,2.03970,2.08160,2.13590,2.21870,2.37030,2.61920,2.89140,4.10000,74.80000,95.90000,CL,Y,
95C16A,1.88880,1.83130,1.80090,1.80230,1.82240,1.84900,1.86720,1.87910,1.89410,1.91590,1.94410,1.97350,2.00050,2.03140,2.07970,2.15310,2.26180,2.37380,2.42470,2.41760,2.37880,2.32120,2.25410,2.18320,2.11450,2.05340,2.00260,1.96330,1.93670,1.92620,1.93170,1.95180,1.98330,2.02470,2.09090,2.21830,2.43180,2.66760,4.10000,74.80000,95.90000,CL,Y,
95B30A,1.90200,1.85210,1.82650,1.83100,1.85350,1.88250,1.90250,1.91540,1.93140,1.95420,1.98350,2.01400,2.04220,2.07570,2.12930,2.21160,2.33390,2.46200,2.52300,2.51920,2.48040,2.42070,2.35020,2.27510,2.20200,2.13700,2.08280,2.04090,2.01310,2.00260,2.00970,2.03260,2.06770,2.11330,2.18490,2.32150,2.55000,2.80060,4.10000,74.70000,95.90000,CL,Y,
95B1A,1.62050,1.62800,1.63430,1.65370,1.68330,1.71680,1.74140,1.75830,1.77630,1.79920,1.82650,1.85240,1.87340,1.89820,1.94320,2.01780,2.13180,2.25400,2.32290,2.33830,2.32280,2.28680,2.23790,2.18180,2.12460,2.07160,2.02580,1.98850,1.96150,1.94850,1.94980,1.96430,1.98920,2.02420,2.08360,2.20120,2.39950,2.61800,4.30000,74.70000,95.80000,CL,Y,
95B24A,1.82610,1.81800,1.82140,1.84460,1.88090,1.92200,1.95370,1.97750,2.00260,2.03270,2.06760,2.10170,2.13090,2.16320,2.21530,2.29710,2.41780,2.54500,2.61340,2.62360,2.60110,2.55800,2.50320,2.44280,2.38300,2.32920,2.28380,2.24790,2.22240,2.21000,2.21110,2.22430,2.24700,2.27870,2.33470,2.45140,2.65460,2.88500,4.20000,74.60000,95.80000,CL,Y,
95B21A,1.73530,1.68890,1.66400,1.66670,1.68620,1.71200,1.72950,1.74050,1.75440,1.77520,1.80240,1.83010,1.85430,1.88240,1.93010,2.00620,2.11950,2.23740,2.29510,2.29470,2.26230,2.21060,2.14840,2.08180,2.01700,1.95930,1.91170,1.87560,1.85220,1.84460,1.85300,1.87580,1.90980,1.95390,2.02230,2.14980,2.35950,2.58890,4.20000,74.70000,95.80000,CL,Y,
95B10A,2.03120,1.95660,1.91510,1.91010,1.92630,1.95050,1.96610,1.97530,1.98850,2.01000,2.03930,2.07020,2.09870,2.13240,2.18550,2.26610,2.38620,2.51160,2.56730,2.55550,2.50730,2.43800,2.35780,2.27320,2.19140,2.11870,2.05820,2.01170,1.98120,1.97040,1.97910,2.00570,2.04620,2.09850,2.17850,2.32550,2.56720,2.83040,4.20000,74.70000,95.80000,CL,Y,
95B17A,2.10270,2.01930,1.97330,1.96650,1.98220,2.00620,2.02200,2.03180,2.04570,2.06800,2.09790,2.12940,2.15820,2.19140,2.24380,2.32370,2.44230,2.56530,2.61860,2.60470,2.55430,2.48210,2.39830,2.30980,2.22410,2.14770,2.08400,2.03500,2.00240,1.99000,1.99770,2.02350,2.06350,2.11540,2.19540,2.34280,2.58560,2.85390,4.30000,74.70000,95.70000,CL,Y,
95B24A,2.01690,1.93990,1.89670,1.89100,1.90750,1.93190,1.94770,1.95690,1.97000,1.99140,2.02060,2.05140,2.07980,2.11340,2.16740,2.25010,2.37310,2.50080,2.55750,2.54570,2.49700,2.42660,2.34500,2.25870,2.17530,2.10120,2.03970,1.99280,1.96230,1.95160,1.96100,1.98840,2.02970,2.08270,2.16340,2.31210,2.55550,2.82260,4.30000,74.60000,95.70000,CL,Y,
95B24A,2.01690,1.93990,1.89670,1.89100,1.90750,1.93190,1.94770,1.95690,1.97000,1.99140,2.02060,2.05140,2.07980,2.11340,2.16740,2.25010,2.37310,2.50080,2.55750,2.54570,2.49700,2.42660,2.34500,2.25870,2.17530,2.10120,2.03970,1.99280,1.96230,1.95160,1.96100,1.98840,2.02970,2.08270,2.16340,2.31210,2.55550,2.82260,4.30000,74.60000,95.70000,CL,Y,
95B24A,1.78650,1.73590,1.70850,1.71090,1.73150,1.75870,1.77690,1.78820,1.80260,1.82410,1.85230,1.88200,1.90910,1.94100,1.99360,2.07580,2.19770,2.32520,2.38700,2.38490,2.34820,2.29100,2.22320,2.15080,2.08040,2.01790,1.96620,1.92680,1.90120,1.89280,1.90160,1.92600,1.96240,2.00880,2.08080,2.21540,2.43860,2.68380,4.30000,74.60000,95.70000,CL,Y,
95B2A,1.96595,1.90237,1.86789,1.86656,1.88483,1.91020,1.92715,1.93762,1.95155,1.97300,2.00137,2.03065,2.05691,2.08771,2.13792,2.21605,2.33305,2.45496,2.51148,2.50493,2.46379,2.40139,2.32730,2.24796,2.17045,2.10110,2.04310,1.99833,1.96858,1.95729,1.96448,1.98822,2.02494,2.07268,2.14713,2.28575,2.51496,2.76479,4.30000,74.60000,95.70000,CL,Y,
95B2B,1.93307,1.87047,1.83613,1.83450,1.85198,1.87649,1.89253,1.90209,1.91493,1.93501,1.96177,1.98978,2.01533,2.04545,2.09433,2.17028,2.28401,2.40202,2.45621,2.44931,2.40891,2.34798,2.27593,2.19897,2.12386,2.05678,2.00080,1.95762,1.92898,1.91839,1.92555,1.94872,1.98427,2.03025,2.10178,2.23592,2.45870,2.70244,4.30000,74.60000,95.70000,CL,Y,
95C18A,1.97010,1.94520,1.94130,1.96290,1.99850,2.03870,2.07020,2.09430,2.11960,2.14950,2.18360,2.21750,2.24770,2.27990,2.32660,2.39560,2.49560,2.59820,2.64830,2.64810,2.61990,2.57490,2.52100,2.46360,2.40790,2.35800,2.31570,2.28160,2.25600,2.24130,2.23790,2.24430,2.25870,2.28040,2.32400,2.42240,2.60200,2.81140,4.30000,74.60000,95.70000,CL,Y,
95C21A,1.71380,1.65820,1.62670,1.62570,1.64240,1.66540,1.68040,1.68900,1.70090,1.71950,1.74440,1.77060,1.79420,1.82180,1.86760,1.93960,2.04640,2.15560,2.20590,2.20080,2.16540,2.11190,2.04890,1.98200,1.91720,1.85970,1.81230,1.77640,1.75320,1.74560,1.75410,1.77670,1.81000,1.85300,1.91930,2.04300,2.24690,2.47030,4.30000,74.60000,95.70000,CL,Y,
95HS1A,1.90365,1.91746,1.93644,1.97009,2.01420,2.06205,2.10001,2.12921,2.15862,2.19181,2.22873,2.26422,2.29431,2.32707,2.37977,2.46312,2.58614,2.71590,2.78662,2.79849,2.77721,2.73509,2.68120,2.62157,2.56217,2.50819,2.46200,2.42438,2.39598,2.37959,2.37559,2.38265,2.39840,2.42264,2.47124,2.58039,2.77684,3.00053,4.30000,74.60000,95.70000,CL,Y,
95HS1B,1.97364,1.99169,2.01510,2.05240,2.10022,2.15204,2.19325,2.22510,2.25694,2.29271,2.33235,2.37048,2.40305,2.43864,2.49553,2.58464,2.71498,2.85261,2.92614,2.93521,2.90934,2.86292,2.80574,2.74387,2.68326,2.62865,2.58226,2.54451,2.51603,2.49954,2.49546,2.50263,2.51873,2.54410,2.59466,2.70855,2.91305,3.14549,4.30000,74.60000,95.70000,CL,Y,
95B24A,1.90230,1.84740,1.81820,1.82040,1.84180,1.87040,1.88990,1.90250,1.91850,1.94200,1.97260,2.00410,2.03190,2.06440,2.11890,2.20520,2.33380,2.46840,2.53280,2.52870,2.48790,2.42560,2.35220,2.27440,2.19930,2.13280,2.07810,2.03660,2.00960,2.00060,2.00950,2.03480,2.07250,2.12130,2.19720,2.33900,2.57380,2.82920,4.30000,74.60000,95.70000,CL,Y,
