SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude
GC2601091,2.5566,2.51155,2.47224,2.43565,2.40044,2.36899,2.34026,2.31425,2.29496,2.28489,2.28725,2.30452,2.32916,2.34105,2.32917,2.30951,2.30889,2.3496,2.43067,2.52619,2.59342,2.61345,2.60282,2.57621,2.53797,2.49479,2.45269,2.41241,2.37251,2.33575,2.30498,2.28141,2.26653,2.26049,2.26909,2.31803,2.43614,2.61063,14.2,11.4,N,N,N
212,2.36971,2.32719,2.30862,2.29739,2.31083,2.27598,2.21484,2.13791,2.0679,2.02241,1.99483,1.99209,1.99738,2.00472,2.00228,2.00877,2.03532,2.10476,2.1744,2.23073,2.26676,2.255,2.25562,2.23028,2.20879,2.16779,2.15386,2.11114,2.0955,2.07454,2.05844,2.06245,2.06763,2.07058,2.10372,2.17675,2.30373,2.45696,13.8,22.1,Y,Y,Y
SW165.8.7,2.72781,2.67242,2.62527,2.58608,2.55173,2.51829,2.48141,2.44296,2.41169,2.39573,2.40155,2.43118,2.46722,2.48033,2.45835,2.426,2.41991,2.46788,2.57439,2.69854,2.76962,2.78119,2.75936,2.7181,2.6642,2.60629,2.54738,2.48981,2.43446,2.38445,2.33915,2.30357,2.27992,2.27131,2.2922,2.373,2.53192,2.73673,9,9.1,Y,Y,Y
151,3.0532,2.98119,2.93708,2.9027,2.89576,2.84066,2.75867,2.66189,2.57529,2.51731,2.48281,2.47899,2.48587,2.49028,2.47673,2.46989,2.48951,2.56521,2.65589,2.73864,2.79098,2.78294,2.77927,2.74404,2.71131,2.65775,2.63118,2.57578,2.5467,2.51327,2.48662,2.48204,2.48109,2.48116,2.51766,2.60729,2.76992,2.97531,12.4,17.1,N,N,N
6018.13.3,2.79432,2.70886,2.63417,2.57016,2.51424,2.46206,2.40969,2.35823,2.31523,2.28782,2.28299,2.30223,2.32862,2.33434,2.31172,2.2847,2.28596,2.33768,2.43311,2.53648,2.59813,2.61016,2.59259,2.55622,2.50536,2.44827,2.3896,2.33114,2.27581,2.22784,2.18715,2.15785,2.14169,2.1395,2.1658,2.25377,2.42173,2.63347,13.5,11,N,N,N
6009.15.3,2.84032,2.75155,2.67364,2.60579,2.54524,2.48862,2.43181,2.37619,2.3282,2.2941,2.28076,2.28952,2.30468,2.3014,2.27303,2.24055,2.2328,2.2704,2.35056,2.4417,2.4957,2.50555,2.48997,2.45747,2.41095,2.35862,2.3043,2.24966,2.19759,2.15163,2.1123,2.08361,2.06742,2.06466,2.08948,2.17196,2.32746,2.52095,15.6,10,N,N,N
1038,3.05156,3.10772,3.05736,3.00655,2.96309,2.92484,2.88724,2.84906,2.81615,2.7933,2.78406,2.79073,2.80583,2.80913,2.78857,2.75901,2.74646,2.77332,2.84301,2.93376,3.00025,3.02076,3.01108,2.98474,2.94598,2.9016,2.85766,2.81462,2.77159,2.73132,2.69767,2.6717,2.65472,2.64725,2.65623,2.70605,2.8247,2.99857,13.9,9.7,N,N,N
GC2601076,2.7308,2.68568,2.64708,2.61237,2.57905,2.55,2.52298,2.49749,2.48123,2.48023,2.49998,2.54203,2.59527,2.63077,2.62625,2.60292,2.60453,2.66551,2.7861,2.93061,3.03596,3.07323,3.06379,3.02934,2.98131,2.92821,2.87624,2.82776,2.77915,2.73332,2.69461,2.66439,2.64425,2.63524,2.64549,2.70793,2.85563,3.07795,6.6,11.2,Y,Y,Y
W246,2.93056,2.86046,2.81801,2.78449,2.77701,2.72062,2.63854,2.54261,2.4569,2.39921,2.36399,2.35929,2.36487,2.36442,2.34054,2.31688,2.31158,2.35857,2.43619,2.52569,2.58979,2.5935,2.60169,2.57705,2.55279,2.50629,2.48519,2.43291,2.40448,2.36889,2.33703,2.32522,2.31619,2.30833,2.33677,2.41385,2.55443,2.73208,14.6,10.5,N,N,N
GC2601092,3.22912,3.16883,3.11721,3.07473,3.03068,2.98999,2.9498,2.91273,2.8849,2.86818,2.86533,2.87931,2.90127,2.91036,2.89391,2.86624,2.85513,2.88476,2.95917,3.05823,3.13278,3.15979,3.15171,3.12523,3.08537,3.03905,2.99188,2.94652,2.90063,2.85755,2.82042,2.79176,2.77295,2.76575,2.77723,2.83478,2.96289,3.15372,13.2,9.3,Y,Y,Y
GC2601039,2.24783,2.20234,2.1628,2.12583,2.09041,2.0585,2.02876,2.00158,1.98149,1.97138,1.97482,1.99401,2.0212,2.03511,2.02312,2.00123,1.99803,2.03784,2.12253,2.22627,2.30107,2.3249,2.31581,2.28945,2.25116,2.20813,2.16644,2.1266,2.08701,2.0501,2.0189,1.99471,1.97923,1.9732,1.98296,2.03311,2.15237,2.32639,13.8,9.7,Y,Y,Y
11086.13.8,2.81325,2.72855,2.65515,2.59166,2.53587,2.48486,2.43439,2.38516,2.34349,2.31582,2.30825,2.3232,2.34517,2.34914,2.32648,2.29921,2.29854,2.34522,2.43368,2.53104,2.59154,2.60633,2.59333,2.56303,2.51986,2.47116,2.42104,2.37165,2.32336,2.28095,2.24573,2.22082,2.2074,2.20682,2.23325,2.31904,2.48134,2.68953,13.9,11.1,N,N,N
11527.12.5,2.64019,2.55832,2.4866,2.42426,2.36989,2.3196,2.26989,2.22112,2.17901,2.15001,2.14046,2.15195,2.17039,2.17343,2.15325,2.13026,2.13423,2.18435,2.27052,2.36035,2.41503,2.4264,2.41116,2.37979,2.33757,2.29162,2.24512,2.20003,2.15554,2.11639,2.08544,2.06479,2.05521,2.05835,2.08697,2.17356,2.33541,2.54295,12.4,12.7,N,N,N
203B,2.78652,2.72436,2.68977,2.66461,2.66621,2.61989,2.54733,2.45989,2.38147,2.33041,2.30129,2.3016,2.31212,2.32015,2.31047,2.30658,2.32704,2.40152,2.49033,2.57127,2.62333,2.61631,2.61395,2.58031,2.54939,2.49787,2.47332,2.41962,2.39265,2.36118,2.33557,2.33178,2.33115,2.33095,2.36563,2.45051,2.60558,2.80323,12.6,17,N,N,N
GC214060,2.62223,2.57825,2.54125,2.51002,2.48113,2.45311,2.42439,2.39739,2.37642,2.36635,2.36993,2.38866,2.412,2.42118,2.40672,2.38394,2.37905,2.41217,2.48847,2.58342,2.65149,2.67238,2.66175,2.63408,2.59575,2.55443,2.51336,2.47405,2.43583,2.4007,2.37033,2.34631,2.33062,2.32615,2.34245,2.40107,2.51958,2.68054,11.6,7.8,N,N,N
W234,2.97776,2.9047,2.85896,2.82199,2.81133,2.75165,2.66518,2.56448,2.47413,2.41192,2.37247,2.36408,2.36629,2.36264,2.33583,2.30947,2.30175,2.3469,2.42512,2.5166,2.58027,2.58192,2.58841,2.56221,2.53645,2.48847,2.46623,2.41259,2.38281,2.34591,2.31258,2.2991,2.2888,2.27984,2.30758,2.38485,2.5259,2.70308,14.8,9.9,N,N,N
GC213093,2.61546,2.5657,2.5231,2.48726,2.45556,2.42598,2.39652,2.36889,2.34795,2.33836,2.34454,2.36643,2.39298,2.4058,2.39658,2.38218,2.39004,2.43793,2.52395,2.6192,2.68429,2.70335,2.69108,2.66148,2.6213,2.57796,2.53473,2.49423,2.45524,2.42075,2.39278,2.37311,2.36307,2.3639,2.38685,2.45574,2.58893,2.76797,11.5,11.5,N,N,N
GC213027,2.55478,2.50788,2.46809,2.43428,2.40383,2.37465,2.34531,2.31757,2.29616,2.28601,2.29076,2.31118,2.33669,2.34828,2.33664,2.31825,2.32004,2.36074,2.44206,2.53711,2.6041,2.62474,2.61363,2.5853,2.54658,2.50465,2.46289,2.4235,2.38541,2.35094,2.32216,2.30062,2.28783,2.28604,2.30534,2.36824,2.49193,2.65992,11.1,9.5,N,N,N
GC2601055,2.70915,2.6533,2.60288,2.55522,2.50881,2.46548,2.42448,2.38674,2.35678,2.33732,2.33174,2.34241,2.3622,2.36944,2.34959,2.31839,2.30566,2.3366,2.41747,2.52463,2.60215,2.62431,2.61108,2.57922,2.5355,2.48723,2.44063,2.39645,2.35259,2.31129,2.27538,2.24584,2.22455,2.2126,2.21725,2.26419,2.38254,2.56172,11.2,9,N,N,N
1019,2.90148,2.84802,2.79743,2.75073,2.71014,2.67353,2.63719,2.60022,2.56822,2.54611,2.53749,2.54459,2.56029,2.56424,2.54307,2.51026,2.49234,2.51239,2.57789,2.67065,2.7419,2.76637,2.75942,2.73472,2.69774,2.65565,2.61409,2.57352,2.53279,2.4939,2.46067,2.43406,2.41554,2.40598,2.41254,2.45796,2.56789,2.72802,12.4,8,N,N,N
GC213083,2.66495,2.61593,2.57454,2.53983,2.50924,2.48031,2.45145,2.42366,2.40308,2.3957,2.40566,2.43356,2.46737,2.48569,2.47664,2.45914,2.46464,2.51584,2.61391,2.72776,2.80669,2.82988,2.81507,2.78043,2.73506,2.68729,2.64017,2.59667,2.55434,2.5159,2.48386,2.45983,2.44525,2.44322,2.46455,2.5357,2.67667,2.87232,8.6,9.8,N,N,N
63,2.57004,2.51436,2.48528,2.46473,2.47068,2.42844,2.3593,2.27452,2.19747,2.1458,2.11323,2.10723,2.11013,2.11523,2.10986,2.11372,2.14029,2.21349,2.28861,2.34928,2.38618,2.37262,2.36962,2.33856,2.31219,2.26634,2.2479,2.20101,2.1812,2.15686,2.13813,2.14055,2.14537,2.14901,2.18506,2.26576,2.40816,2.58273,13.7,21.7,N,N,N
W6A,2.79788,2.73103,2.69208,2.66239,2.65932,2.60754,2.5296,2.43731,2.35521,2.30101,2.26931,2.26804,2.27693,2.28059,2.26129,2.24242,2.24275,2.29579,2.37621,2.46481,2.52809,2.53156,2.53943,2.51485,2.49127,2.44567,2.42573,2.37527,2.34848,2.31484,2.28548,2.27626,2.26979,2.26425,2.2945,2.37314,2.51592,2.69685,14,11.6,N,N,N
GC2601097,2.61605,2.55664,2.50344,2.46088,2.42196,2.38842,2.36134,2.33113,2.30198,2.28567,2.28492,2.30047,2.32428,2.33737,2.32704,2.3071,2.30379,2.3389,2.41365,2.50665,2.57782,2.60712,2.60364,2.58249,2.54923,2.50947,2.46939,2.43023,2.39012,2.35272,2.32215,2.30049,2.28812,2.2861,2.30043,2.35421,2.47192,2.64122,13.5,11.7,Y,Y,Y
GC214081,3.06806,3.01569,2.97307,2.93915,2.90762,2.87911,2.85039,2.82353,2.80396,2.79766,2.80953,2.84027,2.87575,2.89466,2.88642,2.87161,2.88298,2.94001,3.03889,3.14728,3.22077,3.24315,3.22952,3.19586,3.15017,3.10028,3.04923,3.00266,2.95623,2.91517,2.88244,2.85925,2.84682,2.84813,2.87406,2.95473,3.11202,3.33201,12.6,11.4,Y,Y,Y
12610.13.0,3.03882,2.93842,2.85265,2.78184,2.71714,2.65631,2.59502,2.53543,2.48495,2.45151,2.44126,2.45649,2.4792,2.48042,2.45119,2.41535,2.40802,2.45435,2.55179,2.66428,2.73454,2.75148,2.7373,2.70355,2.6558,2.60307,2.54942,2.49658,2.4434,2.39563,2.35591,2.32713,2.31136,2.31116,2.34052,2.43583,2.61339,2.84069,13.3,9.9,N,N,N
1001,3.50717,3.45391,3.40306,3.35661,3.31775,3.28362,3.2495,3.21392,3.1835,3.16451,3.16137,3.17548,3.19871,3.21061,3.1956,3.16801,3.15829,3.19138,3.26815,3.36389,3.43391,3.45737,3.44805,3.42037,3.38157,3.33803,3.29482,3.2529,3.21127,3.17182,3.13877,3.11289,3.09518,3.08667,3.09436,3.14373,3.26268,3.44372,8.2,10.6,N,N,N
GC2601085,2.45236,2.40295,2.3603,2.32657,2.29496,2.26919,2.24972,2.22662,2.20524,2.19747,2.20683,2.23424,2.27059,2.29419,2.28997,2.27361,2.27562,2.32067,2.40981,2.51901,2.60352,2.64015,2.63843,2.61591,2.57994,2.53757,2.49497,2.4536,2.41152,2.37234,2.34063,2.31834,2.30603,2.30449,2.32041,2.37855,2.5049,2.68605,12.7,12.1,Y,Y,Y
GC214041,2.64232,2.59241,2.55128,2.51683,2.48638,2.45823,2.43032,2.40447,2.38587,2.38019,2.39149,2.42109,2.45508,2.47152,2.46096,2.44463,2.45238,2.50336,2.59643,2.70183,2.77695,2.80345,2.79617,2.7694,2.72894,2.68311,2.6362,2.59133,2.5475,2.50869,2.47753,2.45565,2.44455,2.4457,2.47089,2.54735,2.69403,2.88916,14.9,10.6,N,N,N
57A,3.18551,3.09924,3.04138,2.99356,2.97337,2.90528,2.81169,2.7048,2.60804,2.54073,2.49785,2.48695,2.48782,2.48509,2.46138,2.44148,2.44603,2.50809,2.5952,2.68419,2.7438,2.74086,2.74073,2.70808,2.67673,2.6236,2.59676,2.53998,2.50824,2.47129,2.44027,2.43109,2.42607,2.42252,2.45644,2.54438,2.70588,2.91245,13.9,13.8,N,N,N
26A,2.69505,2.63583,2.60368,2.58004,2.58293,2.53743,2.46512,2.37732,2.2978,2.24406,2.21067,2.20489,2.20828,2.21174,2.20197,2.20015,2.22097,2.29047,2.36754,2.4344,2.47711,2.46705,2.46595,2.43553,2.40849,2.36093,2.34022,2.29024,2.26704,2.23933,2.21746,2.21691,2.21921,2.22072,2.25607,2.33789,2.48377,2.66471,14.6,18.9,N,N,N
249,2.45026,2.40535,2.38666,2.37581,2.39048,2.35636,2.295,2.21748,2.1477,2.10222,2.07587,2.07518,2.08263,2.09071,2.08762,2.09325,2.12053,2.19255,2.26618,2.3266,2.36467,2.35313,2.35273,2.3249,2.30132,2.25808,2.24151,2.19583,2.17705,2.1534,2.13526,2.13798,2.14246,2.14562,2.18079,2.25868,2.39375,2.55609,14.7,20.7,N,N,N
GC2601051,3.28301,3.21348,3.1498,3.09492,3.0424,2.99779,2.95809,2.91443,2.87381,2.84837,2.84149,2.85433,2.87828,2.89147,2.87564,2.84401,2.82979,2.8619,2.94846,3.06734,3.1602,3.19437,3.18379,3.15011,3.10386,3.05287,3.00269,2.95575,2.9074,2.86104,2.82093,2.78899,2.76657,2.75632,2.76557,2.8219,2.95202,3.15326,8.1,9.4,N,N,N
GC2601031,2.35041,2.30177,2.25918,2.22665,2.19613,2.16981,2.14892,2.12408,2.10047,2.09057,2.09772,2.12236,2.15619,2.17844,2.173,2.15328,2.14927,2.18689,2.27088,2.38005,2.46632,2.50333,2.5011,2.47804,2.4422,2.4008,2.35974,2.32017,2.27985,2.24156,2.20991,2.18636,2.17137,2.16711,2.17972,2.23203,2.34891,2.5194,10.7,9.5,N,N,N
11668.12.5,2.81133,2.72639,2.65258,2.5888,2.5328,2.48035,2.42751,2.37523,2.33058,2.30067,2.29166,2.30531,2.32579,2.32762,2.3027,2.27254,2.26809,2.3112,2.39896,2.49751,2.55655,2.56793,2.55094,2.51609,2.46825,2.41541,2.36127,2.30765,2.25681,2.21177,2.17325,2.1451,2.12874,2.12583,2.15024,2.23166,2.38824,2.5876,15.8,10.4,Y,Y,Y
GC2601068,3.0528,2.99945,2.95141,2.90681,2.86293,2.82233,2.7847,2.74973,2.72149,2.70233,2.69529,2.7033,2.71909,2.72177,2.69915,2.66634,2.64956,2.67143,2.73989,2.83611,2.90674,2.92738,2.91745,2.89084,2.85141,2.80826,2.76546,2.72361,2.68059,2.63911,2.60252,2.57186,2.54955,2.53607,2.53854,2.58386,2.69679,2.86747,14.5,7.9,N,N,N
W62,3.22074,3.13343,3.0737,3.02333,3.00033,2.92926,2.83251,2.72202,2.62184,2.55066,2.50324,2.48754,2.48374,2.47618,2.44692,2.41922,2.41284,2.46155,2.53949,2.62638,2.68784,2.688,2.69133,2.66163,2.63269,2.58144,2.55569,2.49914,2.46741,2.42974,2.39684,2.3846,2.37585,2.36856,2.398,2.47914,2.62933,2.82238,13.5,12.1,N,N,N
GC2601007,2.67501,2.61915,2.56904,2.52234,2.47762,2.43668,2.39847,2.3632,2.33476,2.31592,2.30993,2.31876,2.33594,2.3422,2.32411,2.29556,2.28416,2.31352,2.38867,2.48746,2.55953,2.581,2.56945,2.5406,2.50116,2.45799,2.41635,2.37703,2.33776,2.30026,2.26801,2.24183,2.22331,2.21358,2.21912,2.26375,2.37573,2.54531,11.1,9.2,N,N,N
GC214036,2.42105,2.37892,2.34414,2.31542,2.29068,2.26774,2.24459,2.22273,2.2068,2.20192,2.21173,2.23699,2.26664,2.28255,2.27756,2.26886,2.28283,2.33558,2.42178,2.51267,2.57457,2.5943,2.58403,2.55687,2.51823,2.47597,2.43335,2.39317,2.35525,2.32273,2.29769,2.28116,2.27441,2.27874,2.30348,2.37314,2.50727,2.68741,13.2,12.8,N,N,N
W41,3.22631,3.13978,3.08062,3.03067,3.00788,2.93643,2.83887,2.72765,2.62734,2.55595,2.50795,2.49155,2.48668,2.47741,2.44515,2.41301,2.40003,2.4412,2.51659,2.60637,2.66925,2.66967,2.67415,2.64579,2.61801,2.56836,2.54452,2.48964,2.45843,2.41997,2.38551,2.37101,2.35981,2.35021,2.3777,2.45595,2.60012,2.78376,13.9,10.1,N,N,N
GC214011,2.60375,2.55426,2.51283,2.47801,2.44712,2.41759,2.38789,2.35991,2.3386,2.32896,2.33505,2.35748,2.3854,2.39897,2.38849,2.37069,2.37397,2.41857,2.50521,2.60604,2.6773,2.69943,2.68739,2.65696,2.61546,2.57084,2.52634,2.48462,2.44462,2.40845,2.3787,2.35651,2.34371,2.34213,2.36233,2.42851,2.56031,2.74046,10.5,10,N,N,N
245A,2.85355,2.78586,2.7464,2.71631,2.71337,2.6624,2.58524,2.49346,2.4118,2.35809,2.32715,2.32655,2.33571,2.34065,2.3266,2.31801,2.33357,2.40345,2.49037,2.57318,2.62854,2.62495,2.62665,2.59546,2.5669,2.51822,2.49451,2.441,2.41308,2.38032,2.35379,2.34895,2.34751,2.34663,2.3816,2.46805,2.62403,2.82008,15.1,15.6,Y,Y,Y
GC2601028,2.89524,2.83594,2.78327,2.74124,2.70163,2.66871,2.64188,2.60972,2.58014,2.56888,2.58068,2.61584,2.66338,2.69683,2.69348,2.6699,2.66702,2.71865,2.83006,2.97213,3.08216,3.12668,3.12101,3.08923,3.04307,2.99081,2.93919,2.89036,2.83964,2.79192,2.75206,2.72187,2.70235,2.69658,2.71235,2.77928,2.92648,3.1469,6.6,10.8,Y,Y,Y
WR20B,2.7946,2.7429,2.69622,2.64995,2.6046,2.56374,2.52657,2.49263,2.4655,2.44757,2.44172,2.45058,2.46781,2.47386,2.4565,2.43078,2.42337,2.4584,2.54016,2.64294,2.71267,2.72736,2.70916,2.67488,2.63051,2.58304,2.53818,2.49629,2.4549,2.4156,2.3817,2.35453,2.33597,2.327,2.33392,2.38263,2.50258,2.68475,12.2,9.6,N,N,N
11661.14.0,2.72419,2.64561,2.57814,2.52104,2.47222,2.4269,2.38064,2.33453,2.29573,2.2711,2.2671,2.28527,2.30967,2.3147,2.29345,2.26805,2.26882,2.31648,2.4043,2.49885,2.55659,2.5698,2.55639,2.52561,2.48114,2.43083,2.3791,2.32768,2.27836,2.23522,2.19969,2.17477,2.16232,2.16299,2.19114,2.27749,2.43857,2.64121,14.1,11.3,N,N,N
11093.13.4,2.74249,2.66033,2.58928,2.52803,2.47449,2.42577,2.37759,2.33044,2.29048,2.26461,2.25864,2.27496,2.29818,2.30358,2.28213,2.25571,2.25572,2.30299,2.39182,2.48968,2.55069,2.56636,2.55485,2.52658,2.48597,2.44072,2.39441,2.34898,2.30308,2.26224,2.22889,2.20564,2.19342,2.19443,2.22202,2.30874,2.47178,2.67912,13.6,11,N,N,N
GC2601022,2.4196,2.37218,2.33036,2.29594,2.26369,2.23683,2.21509,2.18999,2.16611,2.15421,2.15708,2.17576,2.20235,2.21737,2.20778,2.18696,2.18099,2.21185,2.28264,2.37467,2.44774,2.48025,2.48014,2.46246,2.43187,2.39441,2.35618,2.31833,2.27929,2.24268,2.21249,2.19062,2.17739,2.17431,2.18717,2.23837,2.35029,2.51066,14.8,10,N,N,N
12515.14.4,3.16978,3.06483,2.97346,2.89422,2.82328,2.75748,2.69213,2.62866,2.57369,2.53441,2.51747,2.52554,2.54075,2.53647,2.50464,2.46759,2.4574,2.49681,2.584,2.68475,2.74526,2.75641,2.73877,2.702,2.6501,2.59162,2.53073,2.47013,2.41273,2.36244,2.31889,2.28643,2.2673,2.26311,2.28885,2.37589,2.54255,2.75528,14.7,9.9,N,N,N
1037,2.88139,2.85613,2.8083,2.76409,2.72687,2.69462,2.66285,2.63021,2.60211,2.58336,2.57765,2.58684,2.60397,2.61006,2.59343,2.56832,2.56017,2.59081,2.66184,2.75081,2.8157,2.83578,2.82574,2.79921,2.76106,2.71774,2.67501,2.63347,2.59244,2.55456,2.52329,2.49956,2.48461,2.47871,2.4882,2.53638,2.65121,2.82014,13.2,10.4,N,N,N
234A,2.92888,2.86054,2.81883,2.78591,2.77933,2.72415,2.64277,2.54667,2.46031,2.40171,2.36587,2.36097,2.36682,2.36758,2.34655,2.32841,2.33164,2.3888,2.4716,2.55895,2.61909,2.61895,2.62369,2.59645,2.56986,2.52101,2.49773,2.44364,2.41428,2.37889,2.34816,2.33839,2.33216,2.32714,2.35834,2.43996,2.58793,2.77348,14.8,12.6,N,N,N
118A,2.58758,2.53671,2.51269,2.49692,2.50698,2.46828,2.40285,2.32223,2.24944,2.20202,2.17392,2.17228,2.1791,2.18606,2.17964,2.1803,2.20191,2.26999,2.3446,2.40964,2.45191,2.4431,2.44431,2.41734,2.39459,2.3519,2.33641,2.29183,2.2727,2.24765,2.22828,2.22942,2.2323,2.2338,2.26783,2.34553,2.48326,2.65392,13.9,18.6,N,N,N
2701041,2.65839,2.61474,2.57539,2.54106,2.51007,2.4809,2.45217,2.42349,2.40035,2.38792,2.3894,2.40685,2.43164,2.44141,2.42342,2.39389,2.38097,2.40897,2.48703,2.59249,2.6665,2.68803,2.67845,2.6514,2.61285,2.57035,2.52927,2.48958,2.44928,2.41104,2.37797,2.35098,2.33194,2.32241,2.33015,2.37913,2.49317,2.65512,11.151,8.38,Y,Y,Y
SW100.8.8,2.65133,2.59993,2.55705,2.52261,2.49363,2.46522,2.43327,2.39961,2.37243,2.3598,2.3684,2.39952,2.43659,2.45218,2.43421,2.40674,2.40469,2.45344,2.5539,2.66977,2.74145,2.75896,2.74461,2.71186,2.66764,2.62002,2.57229,2.52602,2.47867,2.4355,2.39888,2.37169,2.35591,2.35395,2.37982,2.46284,2.62262,2.82812,9.1,9.4,N,N,N
260,2.92619,2.85447,2.81077,2.77656,2.76943,2.71456,2.63387,2.53865,2.45333,2.39621,2.36227,2.3588,2.36612,2.37031,2.35466,2.34343,2.35649,2.42513,2.51347,2.59924,2.65617,2.65231,2.65193,2.6193,2.58866,2.53671,2.51129,2.45643,2.42749,2.39368,2.36578,2.35947,2.35666,2.35455,2.38828,2.47337,2.62987,2.83019,12.8,15.3,N,N,N
GC214062,3.10173,3.04251,2.99391,2.95501,2.91853,2.88523,2.85209,2.82094,2.79759,2.78812,2.79644,2.82406,2.85719,2.87326,2.86254,2.84546,2.85394,2.90856,3.00703,3.11745,3.19354,3.21719,3.20408,3.17106,3.12531,3.0754,3.02476,2.97823,2.93205,2.891,2.8578,2.8339,2.82108,2.82119,2.84684,2.92751,3.08468,3.30533,12.1,11.1,N,N,N
270B,2.93255,2.864,2.82286,2.79106,2.7863,2.7338,2.65518,2.56158,2.47729,2.4198,2.38357,2.37647,2.37905,2.37948,2.36339,2.3534,2.3656,2.42862,2.50646,2.58059,2.6304,2.6251,2.62758,2.59975,2.57389,2.52645,2.50516,2.45379,2.42795,2.39693,2.37153,2.36744,2.36621,2.36512,2.39882,2.48136,2.63033,2.81713,16.1,15.8,N,N,N
11525.14.4,2.62138,2.54195,2.47202,2.41114,2.35812,2.30913,2.26079,2.21307,2.17182,2.14315,2.13312,2.14374,2.16074,2.1623,2.14197,2.1198,2.1241,2.17182,2.25322,2.33752,2.38904,2.40073,2.38785,2.35993,2.32021,2.27614,2.23119,2.18696,2.14349,2.10522,2.07532,2.05573,2.04716,2.05114,2.08071,2.16681,2.32567,2.52549,14.3,12.8,N,N,N
W122,3.01665,2.93829,2.88795,2.84713,2.8336,2.77181,2.68463,2.58375,2.4938,2.43217,2.3934,2.386,2.3893,2.38668,2.36109,2.33652,2.33101,2.37859,2.4571,2.54708,2.61056,2.61295,2.62012,2.59478,2.56928,2.52153,2.49933,2.44597,2.41659,2.38021,2.34785,2.3357,2.32643,2.31851,2.34702,2.42529,2.56805,2.74866,15.1,10.5,N,N,N
GC2601070,2.99439,2.93637,2.88299,2.83217,2.78266,2.73689,2.694,2.65425,2.62103,2.59589,2.5812,2.5797,2.58524,2.58013,2.55464,2.52182,2.50397,2.52085,2.57888,2.66011,2.71791,2.73175,2.71915,2.69269,2.65547,2.61403,2.57371,2.53508,2.49606,2.4588,2.426,2.39876,2.37892,2.36753,2.37066,2.41156,2.5138,2.66579,15.1,8,N,N,N
1048,2.65792,2.61243,2.57024,2.53225,2.5006,2.47329,2.4463,2.41858,2.39561,2.38188,2.38072,2.39469,2.41599,2.42397,2.40797,2.38377,2.37565,2.40423,2.47272,2.56081,2.62636,2.64923,2.64467,2.62474,2.59199,2.55301,2.51403,2.47544,2.43658,2.40034,2.37042,2.3478,2.33388,2.32883,2.33908,2.38764,2.49956,2.65742,16.7,9.3,N,N,N
1053,2.50179,2.46076,2.42304,2.3896,2.36257,2.33963,2.31656,2.29195,2.27173,2.26173,2.26635,2.28711,2.31655,2.33385,2.32371,2.30058,2.29396,2.32831,2.4073,2.50899,2.5875,2.61777,2.61319,2.58892,2.55264,2.51131,2.47051,2.43114,2.39224,2.35596,2.32595,2.3029,2.28787,2.28154,2.2907,2.33773,2.44997,2.61581,9.4,10.2,N,N,N
11069.15.1,2.74801,2.66457,2.59171,2.52823,2.47246,2.42125,2.37074,2.32131,2.27861,2.24858,2.23673,2.2456,2.26084,2.26001,2.23591,2.20831,2.20476,2.24404,2.32131,2.40732,2.4607,2.4736,2.46214,2.4352,2.39611,2.35233,2.30749,2.26281,2.2186,2.17895,2.14664,2.12428,2.11223,2.11279,2.13907,2.22131,2.37318,2.5655,15.3,10.9,N,N,N
12036.11.6,2.92808,2.83554,2.75566,2.68646,2.62663,2.5711,2.51571,2.46104,2.41519,2.38554,2.37951,2.39834,2.42464,2.43068,2.40689,2.37806,2.37885,2.43321,2.53437,2.64489,2.71178,2.72592,2.70888,2.67341,2.62512,2.57247,2.51937,2.46726,2.41552,2.36927,2.33185,2.30544,2.29238,2.294,2.32539,2.42003,2.59878,2.82541,11.7,11.2,N,N,N
5003.10.4,2.85009,2.75448,2.67047,2.5961,2.52991,2.46879,2.40932,2.35193,2.30315,2.27,2.25856,2.27056,2.29073,2.29383,2.26875,2.23742,2.2333,2.27979,2.37422,2.48092,2.54593,2.55817,2.53825,2.49925,2.44803,2.39204,2.33505,2.27905,2.22665,2.18049,2.14072,2.11066,2.09196,2.08701,2.10917,2.19054,2.34899,2.55531,10.6,10.4,N,N,N
5006.15.0,2.94415,2.84515,2.7587,2.68188,2.61301,2.54956,2.48768,2.4281,2.37672,2.33985,2.32327,2.32964,2.34311,2.33879,2.30831,2.2732,2.26352,2.3003,2.38251,2.47814,2.53673,2.5486,2.5329,2.49922,2.45093,2.39652,2.33972,2.28254,2.22865,2.18143,2.1405,2.10998,2.09096,2.08623,2.10933,2.19157,2.34812,2.54452,15.4,9.7,N,N,N
