SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude
11122.14.1,2.62529,2.54697,2.47856,2.41908,2.36658,2.31804,2.26976,2.22248,2.18199,2.15408,2.14485,2.15632,2.17402,2.17531,2.15236,2.12523,2.12132,2.16048,2.23974,2.32916,2.38342,2.39482,2.38103,2.35111,2.30848,2.26045,2.21057,2.16039,2.1134,2.07222,2.0364,2.00984,1.9936,1.98951,2.01008,2.08374,2.22404,2.39946,14.4,10,N,N,N
12035.11.6,2.92216,2.83103,2.75203,2.68401,2.62547,2.57143,2.51678,2.46313,2.41806,2.38926,2.38399,2.40335,2.43034,2.43684,2.41349,2.38512,2.3867,2.44184,2.54354,2.65389,2.72043,2.73395,2.71617,2.67978,2.63032,2.57629,2.52205,2.46849,2.41606,2.36929,2.33127,2.3047,2.29127,2.29238,2.32329,2.41741,2.59605,2.82346,11.7,11.3,N,N,N
294,3.03361,2.96718,2.9272,2.8959,2.89216,2.84028,2.76118,2.66604,2.57986,2.52155,2.48559,2.47938,2.48333,2.48752,2.47625,2.47195,2.49299,2.56619,2.65015,2.72369,2.7691,2.75771,2.75267,2.71779,2.68699,2.63602,2.6121,2.55944,2.53315,2.50197,2.47721,2.47406,2.47414,2.47442,2.50954,2.59392,2.74556,2.93402,9.8,18.5,Y,Y,Y
GC2601066,2.46703,2.41116,2.36203,2.31615,2.27263,2.23353,2.19736,2.1644,2.13896,2.12379,2.1225,2.1375,2.1609,2.1715,2.15688,2.1332,2.12919,2.16905,2.25314,2.35487,2.42813,2.45127,2.44142,2.41423,2.37474,2.33016,2.28672,2.24513,2.2039,2.16578,2.13381,2.1094,2.09409,2.08839,2.09883,2.15134,2.27536,2.45708,12.2,10.6,Y,Y,Y
211,2.94836,2.87473,2.82921,2.79334,2.78442,2.7274,2.64454,2.54763,2.46051,2.40091,2.36391,2.35672,2.35999,2.36122,2.34512,2.33448,2.34749,2.41374,2.4964,2.57502,2.62718,2.62186,2.62188,2.59103,2.56261,2.51308,2.49018,2.4378,2.41117,2.37919,2.35329,2.34904,2.34777,2.3468,2.38093,2.46485,2.61756,2.81143,13.8,15.7,N,N,N
GC2601056,3.16658,3.10074,3.04085,2.99284,2.9477,2.90837,2.87434,2.83779,2.80374,2.78287,2.77829,2.79096,2.81276,2.82462,2.81197,2.78768,2.78033,2.81406,2.89195,2.99242,3.06957,3.09893,3.09072,3.06244,3.02106,2.97431,2.928,2.88447,2.83882,2.79538,2.7607,2.73413,2.71617,2.71006,2.72052,2.77443,2.89811,3.08957,11.2,11.2,N,N,N
56B,3.02257,2.94482,2.89407,2.85249,2.83801,2.7754,2.68709,2.58456,2.49186,2.42704,2.38488,2.373,2.37223,2.36953,2.34873,2.33305,2.34014,2.40084,2.48113,2.56006,2.61285,2.60771,2.60826,2.57779,2.54944,2.4998,2.47635,2.42295,2.39501,2.3617,2.33381,2.32737,2.32429,2.32177,2.35481,2.43785,2.58897,2.78089,13.7,14.9,N,N,N
W243,3.31859,3.23535,3.18009,3.13442,3.1162,3.04976,2.95715,2.85076,2.75608,2.6911,2.65071,2.64364,2.64782,2.64418,2.61428,2.58437,2.57491,2.62232,2.70684,2.8069,2.8765,2.88035,2.88702,2.85931,2.83036,2.7786,2.75226,2.69462,2.65993,2.61843,2.5812,2.56472,2.55212,2.54196,2.57113,2.6551,2.80903,3.00211,15.2,9.8,N,N,N
64,2.95081,2.87657,2.82953,2.79144,2.7807,2.72188,2.63645,2.53622,2.44542,2.38212,2.34083,2.32906,2.32766,2.32551,2.30765,2.2961,2.30768,2.37099,2.44921,2.52304,2.57156,2.56396,2.56331,2.53237,2.50444,2.45539,2.43298,2.38096,2.35466,2.32323,2.29769,2.2934,2.29237,2.29126,2.32521,2.40819,2.55812,2.74694,13.8,16.9,N,N,N
1011.10.5,3.13959,3.04048,2.95503,2.88108,2.81491,2.75419,2.69462,2.63688,2.58804,2.55585,2.54682,2.56345,2.58835,2.59382,2.56769,2.53431,2.53094,2.58338,2.6883,2.80771,2.88034,2.89415,2.87203,2.82915,2.77243,2.71097,2.64809,2.58722,2.52939,2.47851,2.4344,2.40123,2.3804,2.3748,2.39896,2.48985,2.66677,2.9007,10.7,10.4,N,N,N
6006.13.4,2.79479,2.70981,2.63571,2.57186,2.51567,2.46292,2.40983,2.3576,2.31379,2.28514,2.27846,2.29566,2.31958,2.32264,2.2963,2.26397,2.25789,2.30156,2.3947,2.50182,2.5662,2.5791,2.56273,2.52717,2.47741,2.42182,2.36477,2.30786,2.25304,2.20444,2.16247,2.13092,2.11231,2.10821,2.13323,2.21845,2.38081,2.58502,13.8,9.5,N,N,N
W257,3.10457,3.0218,2.96796,2.92455,2.9094,2.84645,2.75778,2.65586,2.56561,2.50499,2.46878,2.4652,2.47195,2.47034,2.44426,2.42025,2.418,2.47149,2.55547,2.64921,2.71569,2.72034,2.72962,2.7052,2.6788,2.62881,2.60372,2.54688,2.51378,2.47473,2.44104,2.42904,2.4216,2.41652,2.45036,2.53966,2.69896,2.89519,18,11.2,N,N,N
GC2601004,2.66012,2.6043,2.55503,2.50867,2.46337,2.42329,2.38663,2.35208,2.32555,2.31156,2.31511,2.33823,2.37214,2.39139,2.3774,2.34903,2.34304,2.38984,2.49262,2.62103,2.71462,2.74443,2.73127,2.6954,2.64614,2.59364,2.54219,2.49275,2.44354,2.3972,2.35774,2.32627,2.30449,2.29342,2.3013,2.35746,2.49629,2.70655,9.7,10.2,Y,Y,Y
GC214075,2.78053,2.72735,2.68278,2.64514,2.61065,2.57818,2.54625,2.51629,2.49317,2.48057,2.48196,2.49861,2.51864,2.52301,2.50566,2.48318,2.47992,2.51261,2.58336,2.66886,2.73054,2.75193,2.7462,2.72435,2.68943,2.64916,2.60739,2.56704,2.5271,2.49071,2.46069,2.43822,2.42539,2.42401,2.44456,2.51012,2.63578,2.80094,18.6,8.6,Y,Y,Y
11665.14.8,2.84806,2.76675,2.69571,2.6342,2.57994,2.52906,2.47708,2.42567,2.38197,2.35241,2.34382,2.3581,2.37868,2.37873,2.35075,2.31712,2.30896,2.34783,2.43303,2.53141,2.59135,2.60396,2.58966,2.55672,2.5084,2.4535,2.39613,2.33836,2.28403,2.23631,2.19486,2.16415,2.14593,2.1417,2.16581,2.2485,2.40622,2.60366,15.2,9.6,N,N,N
GC2601039,2.36075,2.31212,2.27196,2.23746,2.20307,2.17054,2.13809,2.10887,2.08995,2.08205,2.08725,2.10782,2.13604,2.15224,2.14405,2.12488,2.12211,2.15934,2.23891,2.33857,2.41327,2.44148,2.43481,2.41,2.37262,2.32961,2.28659,2.24504,2.20425,2.16713,2.13585,2.11247,2.09841,2.09466,2.10795,2.16091,2.2773,2.44416,13.8,9.7,Y,Y,Y
164B,2.64862,2.59229,2.56416,2.54546,2.55314,2.51245,2.44531,2.36279,2.28972,2.24374,2.21977,2.22537,2.24017,2.25009,2.24004,2.23393,2.25043,2.31989,2.40777,2.49331,2.55059,2.54847,2.55139,2.52284,2.49615,2.44818,2.42661,2.37517,2.34914,2.31742,2.29127,2.28622,2.2843,2.28271,2.31655,2.39996,2.55065,2.74046,14,15.2,N,N,N
GC213003,2.58719,2.53971,2.4995,2.46605,2.43667,2.40877,2.38086,2.35464,2.33459,2.32617,2.33271,2.35527,2.3831,2.39772,2.3893,2.37453,2.38106,2.42819,2.51563,2.61477,2.68255,2.70111,2.6862,2.65365,2.61124,2.56669,2.52295,2.48227,2.44353,2.40868,2.37993,2.35865,2.34658,2.34536,2.36554,2.43071,2.56032,2.74053,9.4,11.3,Y,Y,Y
W203,3.00942,2.93797,2.89443,2.86002,2.85195,2.79469,2.71124,2.6138,2.52681,2.46851,2.43343,2.42957,2.43659,2.43745,2.41289,2.38664,2.37914,2.42672,2.51024,2.6086,2.67668,2.67906,2.68349,2.65442,2.62629,2.57664,2.55322,2.499,2.46842,2.43038,2.39592,2.38101,2.36907,2.35878,2.38553,2.46254,2.60577,2.78987,12.6,9.5,N,N,N
GC2601032,2.44104,2.39517,2.35499,2.31822,2.28324,2.25185,2.22266,2.19546,2.17539,2.16658,2.17324,2.19698,2.22948,2.24802,2.23762,2.21607,2.21595,2.26361,2.35843,2.47102,2.55167,2.57761,2.56699,2.53723,2.4956,2.44923,2.40431,2.36181,2.31965,2.28025,2.24745,2.22239,2.20635,2.20013,2.2107,2.26457,2.39313,2.58315,10.5,11.5,N,N,N
GC213064,2.63201,2.58537,2.54696,2.51523,2.48732,2.46034,2.43282,2.4067,2.38774,2.38149,2.39209,2.42047,2.45462,2.47279,2.46432,2.44683,2.4518,2.50083,2.59609,2.70693,2.78487,2.80872,2.79532,2.76265,2.71891,2.67263,2.62662,2.58378,2.54245,2.50483,2.47315,2.44933,2.43496,2.43242,2.45325,2.52202,2.65779,2.84453,8.7,9.9,N,N,N
201A,2.41003,2.36592,2.34784,2.33815,2.35507,2.32312,2.26336,2.18679,2.11724,2.07255,2.04677,2.0466,2.055,2.06495,2.06421,2.07235,2.10251,2.17755,2.25299,2.31333,2.35062,2.33792,2.33585,2.30561,2.27981,2.23472,2.21701,2.17071,2.15179,2.12827,2.11046,2.11333,2.11822,2.12153,2.15643,2.23447,2.37222,2.54099,12.8,22,N,N,N
11233.15.0,2.6978,2.61793,2.54724,2.48601,2.43189,2.38118,2.3299,2.27954,2.23627,2.20671,2.19665,2.2083,2.2262,2.2257,2.20052,2.17097,2.16471,2.20168,2.28057,2.37024,2.42374,2.43426,2.42001,2.38881,2.34342,2.29174,2.23778,2.18296,2.13242,2.08823,2.04927,2.02021,2.00275,1.99782,2.01862,2.09312,2.23527,2.41256,15.4,9.8,N,N,N
7012.10.4,2.72241,2.64278,2.57495,2.51941,2.46933,2.42178,2.37283,2.32423,2.28388,2.25919,2.2568,2.27801,2.30679,2.31467,2.29153,2.26067,2.25616,2.30322,2.40187,2.51565,2.58572,2.60254,2.58876,2.55715,2.51381,2.46687,2.41996,2.3741,2.32705,2.28343,2.2467,2.21959,2.20397,2.20218,2.22866,2.31525,2.47726,2.68634,10.7,9.5,N,N,N
GC2601048,3.22473,3.14971,3.08054,3.01635,2.95463,2.8977,2.84417,2.79467,2.75371,2.7237,2.70758,2.70938,2.72024,2.71582,2.68446,2.64521,2.62676,2.65319,2.72798,2.82774,2.90056,2.92246,2.91278,2.88577,2.84294,2.79226,2.74153,2.69203,2.64149,2.59401,2.55362,2.52191,2.50075,2.49071,2.49927,2.55763,2.69515,2.89607,17.9,9.5,Y,Y,Y
SW105.10.1,2.74918,2.69354,2.647,2.60953,2.57793,2.5473,2.51332,2.47756,2.44792,2.43234,2.43755,2.46523,2.49941,2.5121,2.49283,2.4638,2.45899,2.50345,2.59889,2.71069,2.77957,2.79562,2.78044,2.74656,2.69996,2.64863,2.59587,2.54416,2.49402,2.44845,2.40887,2.37905,2.36055,2.35619,2.37922,2.45887,2.61473,2.81496,10.4,9.1,N,N,N
GC214049,2.76357,2.70936,2.66401,2.62618,2.59139,2.55846,2.52572,2.49557,2.47256,2.4609,2.46455,2.48466,2.50905,2.51707,2.50075,2.47812,2.47584,2.5124,2.58995,2.6834,2.75153,2.77578,2.77,2.74662,2.70967,2.66718,2.6231,2.58044,2.53851,2.50057,2.46933,2.4463,2.43311,2.43208,2.45398,2.52339,2.65713,2.834,16.3,9.3,N,N,N
W7B,2.85957,2.78996,2.74861,2.7165,2.71099,2.657,2.57706,2.48282,2.3989,2.34308,2.31016,2.30792,2.31588,2.31854,2.29824,2.27835,2.27831,2.33169,2.41302,2.50275,2.56653,2.56962,2.57641,2.55049,2.52543,2.4782,2.45671,2.40445,2.37638,2.34189,2.31159,2.30164,2.29467,2.28874,2.3189,2.39826,2.54298,2.72691,13.6,11.6,N,N,N
SW124.12.2,2.72975,2.66876,2.61675,2.57362,2.5356,2.4991,2.46011,2.42009,2.38653,2.36645,2.36678,2.38919,2.41752,2.42461,2.40157,2.37051,2.36338,2.40353,2.49275,2.59769,2.66176,2.67465,2.65781,2.62172,2.57122,2.51445,2.4556,2.39682,2.3423,2.29438,2.25158,2.21867,2.19741,2.19001,2.20981,2.28556,2.43521,2.62578,12.6,9,N,N,N
SW185.9.2,2.67636,2.62308,2.57894,2.54324,2.51254,2.4832,2.45048,2.41615,2.3893,2.3785,2.39075,2.42721,2.46994,2.48867,2.47133,2.44489,2.44761,2.5063,2.61835,2.74271,2.81654,2.83114,2.81115,2.77041,2.71649,2.65756,2.59762,2.53896,2.48321,2.43382,2.39062,2.35824,2.33823,2.3332,2.35763,2.44443,2.61431,2.83217,9.4,9.8,N,N,N
12544.10.5,2.84793,2.76034,2.68464,2.61953,2.56258,2.5097,2.45658,2.40392,2.35977,2.33199,2.32734,2.34752,2.3753,2.38274,2.3593,2.32895,2.3268,2.37779,2.47887,2.59195,2.65925,2.67133,2.65087,2.61076,2.55697,2.49799,2.43748,2.37801,2.32214,2.27308,2.23047,2.19847,2.17917,2.17414,2.19853,2.28382,2.44989,2.66451,10.7,10.3,N,N,N
1098,2.60449,2.56007,2.51906,2.4832,2.45442,2.43057,2.40717,2.38258,2.36279,2.35306,2.3574,2.37808,2.40657,2.42126,2.41073,2.39199,2.39188,2.43286,2.51307,2.60709,2.67586,2.70056,2.69567,2.67431,2.63973,2.59848,2.55711,2.5163,2.47576,2.43892,2.40952,2.38855,2.37727,2.37537,2.38919,2.44346,2.56621,2.73973,15.9,11.6,N,N,N
W49,3.22466,3.14353,3.09083,3.04805,3.03211,2.96719,2.87586,2.77095,2.6765,2.60997,2.56555,2.5515,2.54762,2.53894,2.50919,2.48074,2.47004,2.50958,2.57897,2.6606,2.71845,2.7185,2.72582,2.70131,2.67677,2.62965,2.60775,2.5542,2.52458,2.48792,2.45491,2.44191,2.43188,2.42285,2.45012,2.52637,2.66495,2.83916,16.9,10.1,N,N,N
GC2601091,2.64906,2.60006,2.55961,2.52672,2.49305,2.46043,2.42887,2.401,2.38233,2.37352,2.37673,2.39442,2.41933,2.43303,2.42461,2.40714,2.40614,2.44312,2.51807,2.60894,2.67545,2.69946,2.69155,2.6669,2.63022,2.58781,2.54513,2.50396,2.46361,2.42723,2.39689,2.37448,2.36114,2.35746,2.36975,2.42088,2.53507,2.70151,14.2,11.4,N,N,N
SW115.10.9,2.79749,2.74581,2.70136,2.66495,2.63354,2.6037,2.57121,2.53699,2.50816,2.492,2.49447,2.51796,2.54668,2.55622,2.53802,2.51317,2.51154,2.55453,2.64054,2.7367,2.7928,2.80228,2.78414,2.74889,2.70102,2.6478,2.59253,2.53791,2.48721,2.44273,2.40317,2.37302,2.35345,2.3468,2.36512,2.43642,2.57812,2.76125,11.2,9.9,N,N,N
W133,3.08955,3.01191,2.96175,2.92022,2.90516,2.84167,2.75275,2.64985,2.55677,2.49113,2.44754,2.43417,2.43121,2.42423,2.39628,2.37002,2.36204,2.40485,2.47567,2.5569,2.61532,2.61582,2.62239,2.59701,2.57191,2.52447,2.50235,2.449,2.41981,2.38391,2.35195,2.34,2.33097,2.32289,2.3508,2.42715,2.56635,2.74225,15.6,11.1,N,N,N
GC2601062,3.11568,3.05376,2.99804,2.94633,2.89611,2.85089,2.80936,2.77086,2.73958,2.71827,2.71072,2.71878,2.73526,2.73996,2.72039,2.69194,2.68219,2.71449,2.7894,2.88244,2.9497,2.9704,2.95897,2.92993,2.88877,2.84356,2.79839,2.75451,2.71023,2.66887,2.63369,2.60564,2.5864,2.57649,2.5825,2.63238,2.75367,2.93916,13,11,N,N,N
